Year,Region,AFS Name,Sum Pounds,Sum Dollars
2015,Gulf*,ACTINIIDAE,"14,325","13,342"
2015,Gulf*,ALLIGATOR GAR,"772,066","581,550"
2015,Gulf*,ALLIGATOR SNAPPING TURTLE,NA,NA
2015,Gulf*,ALPHEUS,"1,657","2,145"
2015,Gulf*,AMBERJACK,NA,NA
2015,Gulf*,"AMBERJACK, GREATER","1,091,254","1,682,652"
2015,Gulf*,"AMBERJACK, LESSER","5,488","6,257"
2015,Gulf*,AMPHINOMIDAE,4,26
2015,Gulf*,ANCHOVIES,"1,395","1,447"
2015,Gulf*,"ANEMONE, GIANT CARIBBEAN",7,9
2015,Gulf*,ANGELWING,1,2
2015,Gulf*,APLYSIIDAE,735,"2,682"
2015,Gulf*,ATLANTIC BUMPER,"58,453","23,377"
2015,Gulf*,ATLANTIC DEER COWRIE,278,494
2015,Gulf*,ATLANTIC MENHADEN,"646,033","179,148"
2015,Gulf*,ATLANTIC PYGMY OCTOPUS,167,757
2015,Gulf*,ATLANTIC SPADEFISH,"7,519","9,158"
2015,Gulf*,ATLANTIC THORNY OYSTER,253,"1,290"
2015,Gulf*,ATLANTIC WHITE-SPOTTED OCTOPUS,50,300
2015,Gulf*,BALLONFISH,199,"1,787"
2015,Gulf*,BALLYHOO,NA,NA
2015,Gulf*,BANDED BLENNY,75,154
2015,Gulf*,BANDED BUTTERFLYFISH,186,734
2015,Gulf*,BANDED CORAL SHRIMP,"2,750","5,602"
2015,Gulf*,BANDED GUITARFISH,10,326
2015,Gulf*,BANK BUTTERFLYFISH,3,160
2015,Gulf*,BAR JACK,"57,515","67,411"
2015,Gulf*,BARRACUDAS,"6,319","9,216"
2015,Gulf*,BARRED BLENNY,7,6
2015,Gulf*,BARRELFISH,"67,461","245,342"
2015,Gulf*,BASKET STAR,483,"1,435"
2015,Gulf*,"BASS, BLACK SEA","139,630","191,495"
2015,Gulf*,"BASS, LONGTAIL",185,276
2015,Gulf*,"BASS, ROCK SEA","34,122","33,721"
2015,Gulf*,"BASSES, MIXED SEA","1,868","2,179"
2015,Gulf*,BATHYONUS,12,NA
2015,Gulf*,BEAUGREGORY,288,862
2015,Gulf*,BELTED SANDFISH,15,71
2015,Gulf*,BICOLOR DAMSELFISH,190,289
2015,Gulf*,BIGEYE,NA,NA
2015,Gulf*,BIGEYE FAMILY,"2,273","3,521"
2015,Gulf*,"BIGEYE, SHORT",NA,NA
2015,Gulf*,BIGHEAD CARP,"456,701","49,313"
2015,Gulf*,BIGSCALE POMFRET,72,118
2015,Gulf*,"BISCUIT, INFLATED SEA",60,77
2015,Gulf*,"BISCUITS, SEA",128,350
2015,Gulf*,BLACK BRITTLE STAR,"11,715","15,083"
2015,Gulf*,BLACK BROTULA,3,90
2015,Gulf*,BLACK DRIFTFISH,NA,NA
2015,Gulf*,BLACK DURGON,2,60
2015,Gulf*,BLACK MARGATE,1,30
2015,Gulf*,BLACKBAR SOLDIERFISH,14,136
2015,Gulf*,BLACKEAR WRASSE,16,89
2015,Gulf*,BLACKEDGE MORAY,74,374
2015,Gulf*,BLEUFER,NA,NA
2015,Gulf*,BLUE ANGELFISH,"4,040","66,152"
2015,Gulf*,BLUE CHROMIS,"6,238","20,027"
2015,Gulf*,BLUE PARROTFISH,61,"1,602"
2015,Gulf*,BLUE TANG,"4,264","30,517"
2015,Gulf*,BLUEFISH,"337,254","207,212"
2015,Gulf*,BLUEHEAD,"4,018","9,032"
2015,Gulf*,BLUNTNOSE JACK,NA,NA
2015,Gulf*,BONEFISH,"87,087","90,997"
2015,Gulf*,"BONITO, ATLANTIC",NA,NA
2015,Gulf*,BOWFIN,"370,540","295,157"
2015,Gulf*,BOX CRABS,125,568
2015,Gulf*,BOXFISH GENUS,99,166
2015,Gulf*,BOXFISHES,312,633
2015,Gulf*,"BROTULA, BEARDED",NA,NA
2015,Gulf*,BROWN CHROMIS,453,"3,026"
2015,Gulf*,BRUISED NASSA,"166,457","36,967"
2015,Gulf*,BRYOPSIDALES,"7,656","7,866"
2015,Gulf*,BRYOZOANS,77,965
2015,Gulf*,BUFFALOFISHES,"3,236,438","740,785"
2015,Gulf*,BULLHEADS,"8,147","1,447"
2015,Gulf*,BUTTER HAMLET,786,"2,931"
2015,Gulf*,BUTTERFISH,"22,337","15,027"
2015,Gulf*,"BUTTERFISH, UNCLASSIFIED",NA,NA
2015,Gulf*,CARDINALFISH FAMILY,14,9
2015,Gulf*,CARIBBEAN REEF OCTOPUS,62,349
2015,Gulf*,"CARP, COMMON","178,206","18,884"
2015,Gulf*,"CARP, GRASS","123,799","24,659"
2015,Gulf*,CARPS AND MINNOWS,"30,118","170,524"
2015,Gulf*,CASSIS,100,10
2015,Gulf*,"CATFISH, BLUE","3,631,648","2,051,235"
2015,Gulf*,"CATFISH, CHANNEL","1,105,326","845,733"
2015,Gulf*,"CATFISH, FLATHEAD","232,574","129,865"
2015,Gulf*,"CATFISHES, SEA","51,803","24,882"
2015,Gulf*,CATFISHES-BULLHEADS,707,320
2015,Gulf*,CAULERPACEAE,"1,554","9,156"
2015,Gulf*,CAVE BASSLET,2,8
2015,Gulf*,CHALK BASS,227,634
2015,Gulf*,CHAMIDAE,60,115
2015,Gulf*,CHERUBFISH,233,"1,324"
2015,Gulf*,CHESTNUT TURBAN,"96,621","16,715"
2015,Gulf*,"CLAM, SUNRAY VENUS",2,35
2015,Gulf*,CLAMS OR BIVALVES,593,"5,279"
2015,Gulf*,CLEANER SHRIMP,17,110
2015,Gulf*,CLINGFISH FAMILY,155,169
2015,Gulf*,CLOWN WRASSE,703,"1,693"
2015,Gulf*,COBIA,"132,778","463,047"
2015,Gulf*,COCOA DAMSELFISH,44,84
2015,Gulf*,COD FAMILY,NA,NA
2015,Gulf*,COMBTOOTH BLENNY FAMILY,"1,349","2,655"
2015,Gulf*,COMMON OCTOPUS,"1,455","4,251"
2015,Gulf*,CONEY,89,339
2015,Gulf*,CONUS,"9,305","1,371"
2015,Gulf*,CORALLIMORPHARIA,786,"6,652"
2015,Gulf*,CORALLINACEAE,733,840
2015,Gulf*,CORALS,"18,866","73,202"
2015,Gulf*,"COWRIE, ATLANTIC GRAY",19,13
2015,Gulf*,"CRAB, BLUE","54,394,067","78,187,294"
2015,Gulf*,"CRAB, DEEPSEA GOLDEN","760,501","2,772,016"
2015,Gulf*,"CRAB, FLORIDA STONE CLAWS",961,"3,432"
2015,Gulf*,"CRAB, HORSESHOE","31,873","39,426"
2015,Gulf*,CRABS,"5,503","6,895"
2015,Gulf*,CREOLE WRASSE,466,"3,887"
2015,Gulf*,"CROAKER, ATLANTIC","216,554","886,729"
2015,Gulf*,CROWN CONCH,997,"1,095"
2015,Gulf*,CRUSTACEANS,"5,271,331","106,360"
2015,Gulf*,CUBBYU,10,44
2015,Gulf*,"CUCUMBERS, OTHER SEA","1,268","2,835"
2015,Gulf*,CUSK,NA,NA
