fg_atlantis,Index,IsTurnedOn,Name,Long Name,NumCohorts,VerticallyMigrates,HorizontallyMigrates,isFished,IsImpacted,isTAC,InvertType,isPredator,IsCover,isSiliconDep,isAssessed,IsCatchGrazer,isOverWinter
GAG,0,1,GAG,Gag grouper,10,1,1,1,1,1,FISH,1,0,0,0,0,0
RGR,1,1,RGR,Red grouper,10,1,1,1,1,1,FISH,1,0,0,0,0,0
SCM,2,1,SCM,Scamp,10,1,1,1,1,1,FISH,1,0,0,0,0,0
SSR,3,1,SSR,Shallow serranidae,10,1,1,1,1,1,FISH,1,0,0,0,0,0
DSR,4,1,DSR,Deep serranidae,10,1,1,1,1,1,FISH,1,0,0,0,0,0
RSN,5,1,RSN,Red snapper,10,1,1,1,1,1,FISH,1,0,0,0,0,0
VSN,6,1,VSN,Vermilion snapper,10,1,1,1,1,1,FISH,1,0,0,0,0,0
LUT,7,1,LUT,Lutjanidae,10,1,1,1,1,1,FISH,1,0,0,0,0,0
BIO,8,1,BIO,Bioeroding fish,10,1,1,1,1,1,FISH,1,0,0,0,0,0
LRF,9,1,LRF,Large reef fish,10,1,1,1,1,1,FISH,1,0,0,0,0,0
SRF,10,1,SRF,Small reef fish,10,1,1,1,1,1,FISH,1,0,0,0,0,0
BDR,11,1,BDR,Black drum,10,1,1,1,1,1,FISH,1,0,0,0,0,0
RDR,12,1,RDR,Red drum,10,1,1,1,1,1,FISH,1,0,0,0,0,0
SEA,13,1,SEA,Seatrout,10,1,1,1,1,1,FISH,1,0,0,0,0,0
SCI,14,1,SCI,Sciaenidae,10,1,1,1,1,1,FISH,1,0,0,0,0,0
LDY,15,1,LDY,Ladyfish,10,1,1,1,1,1,FISH,1,0,0,0,0,0
MUL,16,1,MUL,Mullets,10,1,1,1,1,1,FISH,1,0,0,0,0,0
POM,17,1,POM,Pompano,10,1,1,1,1,1,FISH,1,0,0,0,0,0
SHP,18,1,SHP,Sheepshead,10,1,1,1,1,1,FISH,1,0,0,0,0,0
SNK,19,1,SNK,Snook,10,1,1,1,1,1,FISH,1,0,0,0,0,0
FLT,20,1,FLT,Flatfish,10,1,1,1,1,1,FISH,1,0,0,0,0,0
ODF,21,1,ODF,Other demersal fish,10,1,1,1,1,1,FISH,1,0,0,0,0,0
SDF,22,1,SDF,Small demersal fish,10,1,1,1,1,1,FISH,1,0,0,0,0,0
YTN,23,1,YTN,Yellowfin tuna,10,1,1,1,1,1,FISH,1,0,0,0,0,0
BTN,24,1,BTN,Bluefin tuna,10,1,1,1,1,1,FISH,1,0,0,0,0,0
LTN,25,1,LTN,Little tunny,10,1,1,1,1,1,FISH,1,0,0,0,0,0
OTN,26,1,OTN,Other tuna,10,1,1,1,1,1,FISH,1,0,0,0,0,0
SWD,27,1,SWD,Swordfish,10,1,1,1,1,1,FISH,1,0,0,0,0,0
WMR,28,1,WMR,White marlin,10,1,1,1,1,1,FISH,1,0,0,0,0,0
BMR,29,1,BMR,Blue marlin,10,1,1,1,1,1,FISH,1,0,0,0,0,0
BIL,30,1,BIL,Other billfish,10,1,1,1,1,1,FISH,1,0,0,0,0,0
AMB,31,1,AMB,Greater amberjack,10,1,1,1,1,1,FISH,1,0,0,0,0,0
JCK,32,1,JCK,Jacks,10,1,1,1,1,1,FISH,1,0,0,0,0,0
KMK,33,1,KMK,King mackerel,10,1,1,1,1,1,FISH,1,0,0,0,0,0
SMK,34,1,SMK,Spanish mackerel,10,1,1,1,1,1,FISH,1,0,0,0,0,0
SAR,35,1,SAR,Spanish sardine,10,1,1,1,1,1,FISH,1,0,0,0,0,0
LPL,36,1,LPL,Large pelagic fish,10,1,1,1,1,1,FISH,1,0,0,0,0,0
DWF,37,1,DWF,Deep water fish,10,1,1,1,1,1,FISH,1,0,0,0,0,0
MEN,38,1,MEN,Menhaden,10,1,1,1,1,1,FISH,1,0,0,0,0,0
PIN,39,1,PIN,Pinfish,10,1,1,1,1,1,FISH,1,0,0,0,0,0
MPL,40,1,MPL,Medium pelagic fish,10,1,1,1,1,1,FISH,1,0,0,0,0,0
SPL,41,1,SPL,Small pelagic fish,10,1,1,1,1,1,FISH,1,0,0,0,0,0
TIP,42,1,TIP,Blacktip shark,10,1,1,1,1,1,SHARK,1,0,0,0,0,0
BEN,43,1,BEN,Benthic feeding sharks,10,1,1,1,1,1,SHARK,1,0,0,0,0,0
LGS,44,1,LGS,Large sharks,10,1,1,1,1,1,SHARK,1,0,0,0,0,0
FIL,45,1,FIL,Filter feeding sharks,10,1,1,1,1,1,SHARK,1,0,0,0,0,0
SMS,46,1,SMS,Small sharks,10,1,1,1,1,1,SHARK,1,0,0,0,0,0
