Year,Region,NMFS Name,Scientific Name,Pounds,Dollars
2018,Gulf,"AMBERJACK, GREATER ",SERIOLA DUMERILI,"543,515","922,308"
2018,Gulf,"AMBERJACK, LESSER ",SERIOLA FASCIATA,"2,297","3,467"
2018,Gulf,AMPHIUMAS **,AMPHIUMA,NA,NA
2018,Gulf,ANCHOVIES **,ENGRAULIDAE,"2,232","1,026"
2018,Gulf,"ANEMONE, OTHER **",ACTINIIDAE,"15,991","108,691"
2018,Gulf,"ANEMONE, RINGED ",BARTHOLOMEA ANNULATA,241,307
2018,Gulf,"ANEMONE, SPECKLED ",PHYMANTHUS CRUCIFER,"35,350","175,831"
2018,Gulf,"ANEMONE, SUN ",STICHODACTYLA HELIANTHUS,333,"1,774"
2018,Gulf,"ANEMONE, SUN ZOANTHID **",PALYTHOA,NA,NA
2018,Gulf,"ANGELFISH, BLUE ",HOLOCANTHUS BERMUDENSIS,"2,527","40,927"
2018,Gulf,"ANGELFISH, FRENCH ",POMACANTHUS PARU,649,"18,225"
2018,Gulf,"ANGELFISH, GRAY ",POMACANTHUS ARCUATUS,"1,945","29,480"
2018,Gulf,"ANGELFISH, QUEEN ",HOLACANTHUS CILIARIS,"2,753","63,053"
2018,Gulf,ANIMALIA **,ANIMALIA,NA,NA
2018,Gulf,"ANIMALS, HYDRALIKE **",HYDROZOA,NA,NA
2018,Gulf,"ANOLE, GREEN ",ANOLIS CAROLINENSIS,"1,840","79,746"
2018,Gulf,BALLOONFISH ,DIODON HOLOCANTHUS,128,"1,055"
2018,Gulf,BALLYHOO ,HEMIRAMPHUS BRASILIENSIS,"2,372","14,112"
2018,Gulf,BALLYHOOS **,HEMIRAMPHUS,"694,848","490,535"
2018,Gulf,"BARBIER, RED ",HEMANTHIAS VIVANUS,NA,NA
2018,Gulf,"BARRACUDA, GREAT ",SPHYRAENA BARRACUDA,"12,729","14,299"
2018,Gulf,"BARRACUDAS, SPHYRAENIDAE (FAMILY) **",SPHYRAENIDAE,"7,087","14,012"
2018,Gulf,BARRELFISH ,HYPEROGLYPHE PERCIFORMIS,"9,733","31,040"
2018,Gulf,"BASS, BANK SEA ",CENTROPRISTIS OCYURUS,NA,NA
2018,Gulf,"BASS, BLACK SEA ",CENTROPRISTIS STRIATA,"186,521","244,115"
2018,Gulf,"BASS, CHALK ",SERRANUS TORTUGARUM,22,83
2018,Gulf,"BASS, HARLEQUIN ",SERRANUS TIGRINUS,135,358
2018,Gulf,"BASS, LANTERN ",SERRANUS BALDWINI,75,184
2018,Gulf,"BASS, LONGTAIL ",HEMANTHIAS LEPTUS,160,326
2018,Gulf,"BASS, PEPPERMINT ",LIOPROPOMA RUBRE,NA,NA
2018,Gulf,"BASS, ROCK SEA ",CENTROPRISTIS PHILADELPHICA,"8,872","10,580"
2018,Gulf,"BASS, WRASSE ",LIOPROPOMA,NA,NA
2018,Gulf,"BASSES, MIXED SEA **",CENTROPRISTIS,617,787
2018,Gulf,"BASSLET, THREELINE ",LIPOGRAMMA TRILINEATUM,NA,NA
2018,Gulf,"BATFISH, OTHER **",HALIEUTICHTHYS,508,991
2018,Gulf,BEAUGREGORY ,STEGASTES,147,382
2018,Gulf,"BEAUTY, ROCK ",HOLACANTHUS TRICOLOR,"2,028","15,166"
2018,Gulf,BIGEYE ,PRIACANTHUS ARENATUS,"1,153",495
2018,Gulf,BIGEYES **,PRIACANTHIDAE,48,79
2018,Gulf,"BISCUIT, INFLATED SEA ",CLYPEASTER PROSTRATUS,NA,NA
2018,Gulf,"BISCUITS, SEA **",CLYPEASTER,110,"1,319"
2018,Gulf,"BLENNY, BANDED ",PARACLINUS FASCIATUS,NA,NA
2018,Gulf,"BLENNY, BARRED ",HYPLEUROCHILUS BERMUDENSIS,NA,NA
2018,Gulf,"BLENNY, FLORIDA ",CHASMODES SABURRAE,154,216
2018,Gulf,"BLENNY, GLASS ",EMBLEMARIOPSIS DIAPHANUS,NA,NA
