predator,prey name,ja.avail.ratio,index,name,predator name,predator type,prey type,availability,mean_av,min_av,max_av
GAG,gag grouper,0,3,pPREY1GAG2,gag grouper,adult,juvenile,0,0.012548732114075735,0,0.4
GAG,gag grouper,0,4,pPREY2GAG2,gag grouper,adult,adult,0,0.012548732114075735,0,0.4
RGR,gag grouper,0,7,pPREY1RGR2,red grouper,adult,juvenile,0.4,0.020951561032141512,0,0.4
RGR,gag grouper,0,8,pPREY2RGR2,red grouper,adult,adult,0,0.020951561032141512,0,0.4
SCM,gag grouper,0,11,pPREY1SCM2,scamp,adult,juvenile,0.4,0.02494856582037302,0,0.4
SCM,gag grouper,0,12,pPREY2SCM2,scamp,adult,adult,0,0.02494856582037302,0,0.4
SSR,gag grouper,0,15,pPREY1SSR2,shallow serranidae,adult,juvenile,0.12597119808197,0.006225914857619887,0,0.277136623859406
SSR,gag grouper,0,16,pPREY2SSR2,shallow serranidae,adult,adult,0,0.006225914857619887,0,0.277136623859406
DSR,gag grouper,0,19,pPREY1DSR2,deep serranidae,adult,juvenile,0.391910403966904,0.02321533464012054,0,0.4
DSR,gag grouper,0,20,pPREY2DSR2,deep serranidae,adult,adult,0,0.02321533464012054,0,0.4
RSN,gag grouper,0,23,pPREY1RSN2,red snapper,adult,juvenile,0.0403107851743698,0.00973902701397473,0,0.4
RSN,gag grouper,0,24,pPREY2RSN2,red snapper,adult,adult,0,0.00973902701397473,0,0.4
VSN,gag grouper,0,27,pPREY1VSN2,vermilion snapper,adult,juvenile,0.111974403262138,0.008080765895336316,0,0.318937480449677
VSN,gag grouper,0,28,pPREY2VSN2,vermilion snapper,adult,adult,0,0.008080765895336316,0,0.318937480449677
LUT,gag grouper,0,31,pPREY1LUT2,lutjanidae,adult,juvenile,0.0962279960513115,0.00893843303524281,0,0.4
LUT,gag grouper,0,32,pPREY2LUT2,lutjanidae,adult,adult,0,0.00893843303524281,0,0.4
BIO,gag grouper,0,35,pPREY1BIO2,bioeroding fish,adult,juvenile,0,0.001325245355329917,0,0.0839999988675117
BIO,gag grouper,0,36,pPREY2BIO2,bioeroding fish,adult,adult,0,0.001325245355329917,0,0.0839999988675117
LRF,gag grouper,12960000.01330279,39,pPREY1LRF2,large reef fish,adult,juvenile,0.00318427220918238,0.005350835054222534,0,0.4
LRF,gag grouper,12960000.01330279,40,pPREY2LRF2,large reef fish,adult,adult,2.45700015888417e-10,0.005350835054222534,0,0.4
SRF,gag grouper,0,43,pPREY1SRF2,small reef fish,adult,juvenile,0.4,0.010959125060162622,0,0.4
SRF,gag grouper,0,44,pPREY2SRF2,small reef fish,adult,adult,0,0.010959125060162622,0,0.4
BDR,gag grouper,0,47,pPREY1BDR2,black drum,adult,juvenile,0.0559871979057789,0.005177249600295398,0,0.4
BDR,gag grouper,0,48,pPREY2BDR2,black drum,adult,adult,0,0.005177249600295398,0,0.4
RDR,gag grouper,0,51,pPREY1RDR2,red drum,adult,juvenile,0.272937595844269,0.0172068160219246,0,0.4
RDR,gag grouper,0,52,pPREY2RDR2,red drum,adult,adult,0,0.0172068160219246,0,0.4
SEA,gag grouper,0,55,pPREY1SEA2,seatrout,adult,juvenile,0.00195955228991807,0.006731622274894689,0,0.4
SEA,gag grouper,0,56,pPREY2SEA2,seatrout,adult,adult,0,0.006731622274894689,0,0.4
SCI,gag grouper,0,59,pPREY1SCI2,sciaenidae,adult,juvenile,0,0.002335373208255513,0,0.151779532432556
SCI,gag grouper,0,60,pPREY2SCI2,sciaenidae,adult,adult,0,0.002335373208255513,0,0.151779532432556
LDY,gag grouper,0,63,pPREY1LDY2,ladyfish,adult,juvenile,0.00327918748371303,0.0040466363210868595,0,0.4
LDY,gag grouper,0,64,pPREY2LDY2,ladyfish,adult,adult,0,0.0040466363210868595,0,0.4
