predator name,prey name
benthic feeding sharks,shallow serranidae
benthic feeding sharks,large reef fish
benthic feeding sharks,small reef fish
benthic feeding sharks,other demersal fish
benthic feeding sharks,large pelagic fish
benthic feeding sharks,deep water fish
benthic feeding sharks,pinfish
benthic feeding sharks,medium pelagic fish
benthic feeding sharks,small pelagic fish
benthic feeding sharks,large sharks
benthic feeding sharks,other shrimp
benthic feeding sharks,dolphins and porpoises
benthic feeding sharks,blue crab
benthic feeding sharks,carnivorous macrobenthos
benthic feeding sharks,infaunal meiobenthos
benthic feeding sharks,bivalves
benthic feeding sharks,sessile filter feeders
benthic feeding sharks,sea grass
benthic feeding sharks,macroalgae
benthic feeding sharks,small phytoplankton
benthic feeding sharks,squid
benthic feeding sharks,large zooplankton
benthic feeding sharks,small zooplankton
benthic feeding sharks,labile detritus
benthic feeding sharks,refractory detritus
bioeroding fish,small demersal fish
bioeroding fish,other shrimp
bioeroding fish,crabs and lobsters
bioeroding fish,stony corals
bioeroding fish,sponges
bioeroding fish,carnivorous macrobenthos
bioeroding fish,infaunal meiobenthos
bioeroding fish,herbivorous echinoderms
bioeroding fish,bivalves
bioeroding fish,sessile filter feeders
bioeroding fish,sea grass
bioeroding fish,macroalgae
bioeroding fish,small zooplankton
black drum,other demersal fish
black drum,small demersal fish
black drum,brown shrimp
black drum,other shrimp
black drum,stone crab
black drum,crabs and lobsters
black drum,carnivorous macrobenthos
black drum,herbivorous echinoderms
black drum,sessile filter feeders
black drum,sea grass
black drum,small phytoplankton
black drum,protists
black drum,large zooplankton
black drum,small zooplankton
black drum,carrion detritus
black drum,labile detritus
black drum,refractory detritus
blacktip shark,dolphins and porpoises
blacktip shark,carnivorous macrobenthos
blacktip shark,bivalves
blacktip shark,macroalgae
blacktip shark,squid
blue crab,infaunal meiobenthos
blue crab,sessile filter feeders
blue crab,small phytoplankton
blue crab,jellyfish
blue marlin,large phytoplankton
bluefin tuna,bluefin tuna
bluefin tuna,other tuna
bluefin tuna,small pelagic fish
deep serranidae,shallow serranidae
