Species,FeedingType,Herbivory2,FoodTroph,old_name
Mycteroperca microlepis,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.74,Mycteroperca microlepis
Epinephelus morio,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.63,Epinephelus morio
Mycteroperca phenax,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.5,Mycteroperca phenax
Alphestes afer,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.01,Alphestes afer
Bathyanthias cubensis,NA,NA,NA,Bathyanthias cubensis
Centropristis philadelphica,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.83,Centropristis philadelphica
Cephalopholis cruentata,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.16,Cephalopholis cruentata
Cephalopholis fulva,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.25,Cephalopholis fulva
Dermatolepis inermis,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.5,Dermatolepis inermis
Diplectrum bivittatum,NA,NA,NA,Diplectrum bivittatum
Diplectrum formosum,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.15,Diplectrum formosum
Epinephelus adscensionis,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.75,Epinephelus adscensionis
Epinephelus guttatus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.15,Epinephelus guttatus
Epinephelus itajara,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.03,Epinephelus itajara
Epinephelus striatus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.03,Epinephelus striatus
Gonioplectrus hispanus,NA,mainly animals (troph. 2.8 and up),NA,Gonioplectrus hispanus
Hypoplectrus puella,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,Hypoplectrus puella
Hypoplectrus unicolor,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.97,Hypoplectrus unicolor
Mycteroperca acutirostris,NA,mainly animals (troph. 2.8 and up),3.4,Mycteroperca acutirostris
Mycteroperca bonaci,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.5,Mycteroperca bonaci
Mycteroperca interstitialis,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.5,Mycteroperca interstitialis
Mycteroperca tigris,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.5,Mycteroperca tigris
Mycteroperca venenosa,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.5,Mycteroperca venenosa
Paranthias furcifer,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.4,Paranthias furcifer
Pronotogrammus eos,NA,NA,NA,Pronotogrammus eos
Pronotogrammus martinicensis,NA,NA,NA,Pronotogrammus martinicensis
Schultzea beta,filtering plankton,plants/detritus+animals (troph. 2.2-2.79),3.4,Schultzea beta
Serraniculus pumilio,NA,NA,NA,Serraniculus pumilio
Serranus atrobranchus,NA,NA,NA,Serranus atrobranchus
Serranus notospilus,NA,NA,NA,Serranus notospilus
Serranus phoebe,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.5,Serranus phoebe
Serranus subligarius,NA,NA,NA,Serranus subligarius
Bathyanthias mexicanus,NA,NA,NA,Bathyanthias mexicanus
Hyporthodus flavolimbatus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.82,Hyporthodus flavolimbatus
Hyporthodus mystacinus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.19,Hyporthodus mystacinus
Hyporthodus nigritus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.97,Hyporthodus nigritus
