index,name,prey name,availability
1,pPREY1GAG1,gag grouper,0
2,pPREY2GAG1,gag grouper,0
5,pPREY1RGR1,gag grouper,0.4
6,pPREY2RGR1,gag grouper,0
9,pPREY1SCM1,gag grouper,0
10,pPREY2SCM1,gag grouper,0
13,pPREY1SSR1,gag grouper,0.16329599916935
14,pPREY2SSR1,gag grouper,0
17,pPREY1DSR1,gag grouper,0
18,pPREY2DSR1,gag grouper,0
21,pPREY1RSN1,gag grouper,0.4
22,pPREY2RSN1,gag grouper,4.2000004168985e-11
25,pPREY1VSN1,gag grouper,0
26,pPREY2VSN1,gag grouper,0
29,pPREY1LUT1,gag grouper,0.194399997591972
30,pPREY2LUT1,gag grouper,0
33,pPREY1BIO1,gag grouper,0
34,pPREY2BIO1,gag grouper,0
37,pPREY1LRF1,gag grouper,0.00373248010873795
38,pPREY2LRF1,gag grouper,0
41,pPREY1SRF1,gag grouper,0.4
42,pPREY2SRF1,gag grouper,0
45,pPREY1BDR1,gag grouper,0.388799995183945
46,pPREY2BDR1,gag grouper,0
49,pPREY1RDR1,gag grouper,0.4
50,pPREY2RDR1,gag grouper,0
53,pPREY1SEA1,gag grouper,0.4
54,pPREY2SEA1,gag grouper,0
57,pPREY1SCI1,gag grouper,0
58,pPREY2SCI1,gag grouper,0
61,pPREY1LDY1,gag grouper,0.4
62,pPREY2LDY1,gag grouper,0
65,pPREY1MUL1,gag grouper,0
66,pPREY2MUL1,gag grouper,0
69,pPREY1POM1,gag grouper,0
70,pPREY2POM1,gag grouper,0
73,pPREY1SHP1,gag grouper,0
74,pPREY2SHP1,gag grouper,0
77,pPREY1SNK1,gag grouper,0
78,pPREY2SNK1,gag grouper,0
81,pPREY1FLT1,gag grouper,0
82,pPREY2FLT1,gag grouper,0
85,pPREY1ODF1,gag grouper,0
86,pPREY2ODF1,gag grouper,0
89,pPREY1SDF1,gag grouper,0
90,pPREY2SDF1,gag grouper,0
93,pPREY1YTN1,gag grouper,0
94,pPREY2YTN1,gag grouper,0
97,pPREY1BTN1,gag grouper,0.4
98,pPREY2BTN1,gag grouper,0
101,pPREY1LTN1,gag grouper,0.21772800385952
102,pPREY2LTN1,gag grouper,0
105,pPREY1OTN1,gag grouper,0
106,pPREY2OTN1,gag grouper,0
109,pPREY1SWD1,gag grouper,0
110,pPREY2SWD1,gag grouper,0
113,pPREY1WMR1,gag grouper,0
114,pPREY2WMR1,gag grouper,0
117,pPREY1BMR1,gag grouper,0
118,pPREY2BMR1,gag grouper,0
121,pPREY1BIL1,gag grouper,0
122,pPREY2BIL1,gag grouper,0
125,pPREY1AMB1,gag grouper,0
126,pPREY2AMB1,gag grouper,0
129,pPREY1JCK1,gag grouper,0
130,pPREY2JCK1,gag grouper,0
133,pPREY1KMK1,gag grouper,0
134,pPREY2KMK1,gag grouper,0
137,pPREY1SMK1,gag grouper,0
138,pPREY2SMK1,gag grouper,0
141,pPREY1SAR1,gag grouper,0
142,pPREY2SAR1,gag grouper,0
145,pPREY1LPL1,gag grouper,0.4
146,pPREY2LPL1,gag grouper,0
149,pPREY1DWF1,gag grouper,0
150,pPREY2DWF1,gag grouper,0
153,pPREY1MEN1,gag grouper,0
154,pPREY2MEN1,gag grouper,0
157,pPREY1PIN1,gag grouper,0
158,pPREY2PIN1,gag grouper,0
161,pPREY1MPL1,gag grouper,0
162,pPREY2MPL1,gag grouper,0
165,pPREY1SPL1,gag grouper,0
166,pPREY2SPL1,gag grouper,0
169,pPREY1TIP1,gag grouper,0.388799995183945
170,pPREY2TIP1,gag grouper,1.0799999783373e-9
173,pPREY1BEN1,gag grouper,0
174,pPREY2BEN1,gag grouper,0
177,pPREY1LGS1,gag grouper,0.121500000357628
178,pPREY2LGS1,gag grouper,3.375000001693e-10
181,pPREY1FIL1,gag grouper,0
182,pPREY2FIL1,gag grouper,0
185,pPREY1SMS1,gag grouper,0
186,pPREY2SMS1,gag grouper,0
189,pPREY1RAY1,gag grouper,0
190,pPREY2RAY1,gag grouper,0
193,pPREY1BSH1,gag grouper,0
194,pPREY2BSH1,gag grouper,0
197,pPREY1WSH1,gag grouper,0
198,pPREY2WSH1,gag grouper,0
201,pPREY1PSH1,gag grouper,0
202,pPREY2PSH1,gag grouper,0
205,pPREY1OSH1,gag grouper,0
206,pPREY2OSH1,gag grouper,0
209,pPREY1DBR1,gag grouper,0
210,pPREY2DBR1,gag grouper,0
213,pPREY1SBR1,gag grouper,0
214,pPREY2SBR1,gag grouper,0
217,pPREY1MAN1,gag grouper,0
218,pPREY2MAN1,gag grouper,0
221,pPREY1MYS1,gag grouper,0
222,pPREY2MYS1,gag grouper,0
225,pPREY1DOL1,gag grouper,0
226,pPREY2DOL1,gag grouper,0
229,pPREY1DDO1,gag grouper,0
230,pPREY2DDO1,gag grouper,0
233,pPREY1LOG1,gag grouper,0
234,pPREY2LOG1,gag grouper,0
237,pPREY1KMP1,gag grouper,0
238,pPREY2KMP1,gag grouper,0
241,pPREY1TUR1,gag grouper,0
242,pPREY2TUR1,gag grouper,0
1,pPREY1GAG1,red grouper,0
2,pPREY2GAG1,red grouper,0
5,pPREY1RGR1,red grouper,0.181439980864525
6,pPREY2RGR1,red grouper,0
9,pPREY1SCM1,red grouper,0.4
10,pPREY2SCM1,red grouper,6.35039992630482e-4
13,pPREY1SSR1,red grouper,0.0680399984121323
14,pPREY2SSR1,red grouper,1.05839986645151e-4
17,pPREY1DSR1,red grouper,0.272159993648529
18,pPREY2DSR1,red grouper,4.23360033892095e-4
21,pPREY1RSN1,red grouper,0.226799994707108
22,pPREY2RSN1,red grouper,1.76400008058408e-5
25,pPREY1VSN1,red grouper,0.0510299988090992
26,pPREY2VSN1,red grouper,7.93800063547678e-5
29,pPREY1LUT1,red grouper,0.0810000002384186
30,pPREY2LUT1,red grouper,0
33,pPREY1BIO1,red grouper,0
34,pPREY2BIO1,red grouper,0
37,pPREY1LRF1,red grouper,0.155519977211952
38,pPREY2LRF1,red grouper,0
41,pPREY1SRF1,red grouper,0
42,pPREY2SRF1,red grouper,0
45,pPREY1BDR1,red grouper,0.162000000476837
46,pPREY2BDR1,red grouper,0
49,pPREY1RDR1,red grouper,0.259199976921082
50,pPREY2RDR1,red grouper,0
53,pPREY1SEA1,red grouper,0.259200006723404
54,pPREY2SEA1,red grouper,0
57,pPREY1SCI1,red grouper,0
58,pPREY2SCI1,red grouper,0
