time,simulation,scenario,variable,year,fg_atlantis,value_mt
30,1,no_oil,biomass,2010,GAG,3394.487162
30,1,no_oil,biomass,2010,RGR,14266.892599
30,1,no_oil,biomass,2010,SCM,560.688595
30,1,no_oil,biomass,2010,SSR,96179.425441
30,1,no_oil,biomass,2010,DSR,11671.464117
30,1,no_oil,biomass,2010,RSN,37737.280514
30,1,no_oil,biomass,2010,VSN,12917.352109
30,1,no_oil,biomass,2010,LUT,94166.542739
30,1,no_oil,biomass,2010,BIO,6841.9515
30,1,no_oil,biomass,2010,LRF,13030.508616
30,1,no_oil,biomass,2010,SRF,42694.511788
30,1,no_oil,biomass,2010,BDR,2845.709017
30,1,no_oil,biomass,2010,RDR,11105.500021
30,1,no_oil,biomass,2010,SEA,14274.429756
30,1,no_oil,biomass,2010,SCI,51569.577641
30,1,no_oil,biomass,2010,LDY,15693.398309
30,1,no_oil,biomass,2010,MUL,49068.817052
30,1,no_oil,biomass,2010,POM,26251.371553
30,1,no_oil,biomass,2010,SHP,58041.965891
30,1,no_oil,biomass,2010,SNK,40367.181
30,1,no_oil,biomass,2010,FLT,31407.784962
30,1,no_oil,biomass,2010,ODF,83854.468844
30,1,no_oil,biomass,2010,SDF,23679.849919
30,1,no_oil,biomass,2010,YTN,3912.913987
30,1,no_oil,biomass,2010,BTN,906.061146
30,1,no_oil,biomass,2010,LTN,17815.474803
30,1,no_oil,biomass,2010,OTN,1340.193602
30,1,no_oil,biomass,2010,SWD,46179.489647
30,1,no_oil,biomass,2010,WMR,2559.769622
30,1,no_oil,biomass,2010,BMR,8032.519341
30,1,no_oil,biomass,2010,BIL,2957.457221
30,1,no_oil,biomass,2010,AMB,1547.113483
30,1,no_oil,biomass,2010,JCK,13717.850203
30,1,no_oil,biomass,2010,KMK,18707.789315
30,1,no_oil,biomass,2010,SMK,13352.696263
30,1,no_oil,biomass,2010,SAR,77290.607163
30,1,no_oil,biomass,2010,LPL,22582.800151
30,1,no_oil,biomass,2010,DWF,35820.330898
30,1,no_oil,biomass,2010,MEN,5941983.872287
30,1,no_oil,biomass,2010,PIN,39820.177148
30,1,no_oil,biomass,2010,MPL,37634.918932
30,1,no_oil,biomass,2010,SPL,718005.659094
30,1,no_oil,biomass,2010,TIP,4288.650208
30,1,no_oil,biomass,2010,BEN,572875.909486
30,1,no_oil,biomass,2010,LGS,423670.887116
30,1,no_oil,biomass,2010,FIL,161.689599
30,1,no_oil,biomass,2010,SMS,65057.94151
30,1,no_oil,biomass,2010,RAY,104485.380327
30,1,no_oil,biomass,2010,BSH,443651.590166
30,1,no_oil,biomass,2010,WSH,46374.448393
30,1,no_oil,biomass,2010,PSH,12300.439816
30,1,no_oil,biomass,2010,OSH,171016.718457
30,1,no_oil,biomass,2010,DBR,296262.559657
30,1,no_oil,biomass,2010,SBR,608158.51379
30,1,no_oil,biomass,2010,MAN,304.331346
30,1,no_oil,biomass,2010,MYS,558.325793
30,1,no_oil,biomass,2010,DOL,6000.299051
30,1,no_oil,biomass,2010,DDO,6057.283018
30,1,no_oil,biomass,2010,LOG,15913.610617
30,1,no_oil,biomass,2010,KMP,152419.647086
30,1,no_oil,biomass,2010,TUR,62557.38088
30,1,no_oil,biomass,2010,BCR,298564.188495
30,1,no_oil,biomass,2010,SCR,190711.527403
30,1,no_oil,biomass,2010,LOB,76299.719155
30,1,no_oil,biomass,2010,COR,9901.967617
30,1,no_oil,biomass,2010,CCA,22631.707505
30,1,no_oil,biomass,2010,OCT,6469.211643
30,1,no_oil,biomass,2010,SPG,42312.392994
30,1,no_oil,biomass,2010,CMB,879631.665307
30,1,no_oil,biomass,2010,INF,32786095.19282
30,1,no_oil,biomass,2010,ECH,12465920.73514
30,1,no_oil,biomass,2010,OYS,13014352.707098
30,1,no_oil,biomass,2010,BIV,6614820.103914
30,1,no_oil,biomass,2010,SES,786666.729871
30,1,no_oil,biomass,2010,EPI,69791.710466
30,1,no_oil,biomass,2010,GRS,226504.953009
30,1,no_oil,biomass,2010,ALG,113445.153621
30,1,no_oil,biomass,2010,MPB,723301.798288
30,1,no_oil,biomass,2010,LPP,119917622.040611
30,1,no_oil,biomass,2010,SPP,322837168.386641
30,1,no_oil,biomass,2010,DIN,45413.120123
30,1,no_oil,biomass,2010,PRO,249079448.75828
30,1,no_oil,biomass,2010,JEL,3043393.218657
30,1,no_oil,biomass,2010,SQU,8120442.62357
30,1,no_oil,biomass,2010,LZP,61705352.413896
30,1,no_oil,biomass,2010,SZP,112485970.216329
30,1,no_oil,biomass,2010,PB,2585030533.83829
30,1,no_oil,biomass,2010,BB,103432365.81185
30,1,no_oil,biomass,2010,DC,5556959271.45744
30,1,no_oil,biomass,2010,DL,13823656191.2537
30,1,no_oil,biomass,2010,DR,1761343455.60343
60,1,no_oil,biomass,2010,GAG,3541.005513
60,1,no_oil,biomass,2010,RGR,9536.928402
60,1,no_oil,biomass,2010,SCM,615.278821
60,1,no_oil,biomass,2010,SSR,101580.392167
60,1,no_oil,biomass,2010,DSR,11906.928401
60,1,no_oil,biomass,2010,RSN,39856.097364
60,1,no_oil,biomass,2010,VSN,13245.313212
60,1,no_oil,biomass,2010,LUT,86605.012975
60,1,no_oil,biomass,2010,BIO,7181.748579
60,1,no_oil,biomass,2010,LRF,13917.503386
60,1,no_oil,biomass,2010,SRF,47836.088104
60,1,no_oil,biomass,2010,BDR,2908.270204
60,1,no_oil,biomass,2010,RDR,11423.263835
60,1,no_oil,biomass,2010,SEA,15678.505245
60,1,no_oil,biomass,2010,SCI,62265.858283
60,1,no_oil,biomass,2010,LDY,17116.517586
60,1,no_oil,biomass,2010,MUL,53305.281058
60,1,no_oil,biomass,2010,POM,27372.332903
60,1,no_oil,biomass,2010,SHP,46525.20255
60,1,no_oil,biomass,2010,SNK,44171.811217
60,1,no_oil,biomass,2010,FLT,38221.645861
60,1,no_oil,biomass,2010,ODF,86271.831542
60,1,no_oil,biomass,2010,SDF,26843.418068
60,1,no_oil,biomass,2010,YTN,4162.895088
60,1,no_oil,biomass,2010,BTN,902.560368
60,1,no_oil,biomass,2010,LTN,18730.684645
60,1,no_oil,biomass,2010,OTN,1532.277125
60,1,no_oil,biomass,2010,SWD,46076.24377
60,1,no_oil,biomass,2010,WMR,2632.100529
60,1,no_oil,biomass,2010,BMR,6857.370406
60,1,no_oil,biomass,2010,BIL,2977.685076
60,1,no_oil,biomass,2010,AMB,1679.812215
60,1,no_oil,biomass,2010,JCK,14474.803314
60,1,no_oil,biomass,2010,KMK,18716.016144
60,1,no_oil,biomass,2010,SMK,13211.396101
60,1,no_oil,biomass,2010,SAR,116126.218434
60,1,no_oil,biomass,2010,LPL,26613.581193
60,1,no_oil,biomass,2010,DWF,36945.310078
60,1,no_oil,biomass,2010,MEN,6321392.680092
60,1,no_oil,biomass,2010,PIN,43004.923289
60,1,no_oil,biomass,2010,MPL,42004.792954
60,1,no_oil,biomass,2010,SPL,758039.522112
60,1,no_oil,biomass,2010,TIP,5030.676236
60,1,no_oil,biomass,2010,BEN,585363.21887
60,1,no_oil,biomass,2010,LGS,285495.405678
60,1,no_oil,biomass,2010,FIL,162.521757
60,1,no_oil,biomass,2010,SMS,65607.741995
60,1,no_oil,biomass,2010,RAY,110930.025395
60,1,no_oil,biomass,2010,BSH,452277.261843
60,1,no_oil,biomass,2010,WSH,48635.853469
60,1,no_oil,biomass,2010,PSH,10910.952677
60,1,no_oil,biomass,2010,OSH,179027.14045
60,1,no_oil,biomass,2010,DBR,311389.859728
60,1,no_oil,biomass,2010,SBR,633768.066448
60,1,no_oil,biomass,2010,MAN,310.084705
60,1,no_oil,biomass,2010,MYS,558.464178
60,1,no_oil,biomass,2010,DOL,5986.220676
60,1,no_oil,biomass,2010,DDO,6129.185798
60,1,no_oil,biomass,2010,LOG,15981.712384
60,1,no_oil,biomass,2010,KMP,152807.664079
60,1,no_oil,biomass,2010,TUR,62561.831696
60,1,no_oil,biomass,2010,BCR,297057.90157
60,1,no_oil,biomass,2010,SCR,190619.749226
60,1,no_oil,biomass,2010,LOB,75874.066517
60,1,no_oil,biomass,2010,COR,9901.289156
60,1,no_oil,biomass,2010,CCA,22628.158258
60,1,no_oil,biomass,2010,OCT,6469.198229
60,1,no_oil,biomass,2010,SPG,48038.588522
60,1,no_oil,biomass,2010,CMB,818422.695576
60,1,no_oil,biomass,2010,INF,32806401.009993
60,1,no_oil,biomass,2010,ECH,12460823.953165
60,1,no_oil,biomass,2010,OYS,12879597.30534
60,1,no_oil,biomass,2010,BIV,6622973.476369
60,1,no_oil,biomass,2010,SES,778165.873157
60,1,no_oil,biomass,2010,EPI,69791.548051
60,1,no_oil,biomass,2010,GRS,226503.844174
60,1,no_oil,biomass,2010,ALG,113444.566835
60,1,no_oil,biomass,2010,MPB,1698625.716296
60,1,no_oil,biomass,2010,LPP,102087190.472668
60,1,no_oil,biomass,2010,SPP,334689774.238208
60,1,no_oil,biomass,2010,DIN,41078.86383
60,1,no_oil,biomass,2010,PRO,151907819.082776
60,1,no_oil,biomass,2010,JEL,3623181.316329
60,1,no_oil,biomass,2010,SQU,7816543.233243
60,1,no_oil,biomass,2010,LZP,53732942.054908
60,1,no_oil,biomass,2010,SZP,93455863.651859
60,1,no_oil,biomass,2010,PB,3117199218.6841
60,1,no_oil,biomass,2010,BB,121746046.682294
60,1,no_oil,biomass,2010,DC,1137895239.26886
60,1,no_oil,biomass,2010,DL,13900578737.7823
60,1,no_oil,biomass,2010,DR,1477122137.29408
90,1,no_oil,biomass,2010,GAG,2246.209202
90,1,no_oil,biomass,2010,RGR,9902.925194
90,1,no_oil,biomass,2010,SCM,671.440007
90,1,no_oil,biomass,2010,SSR,105476.718423
90,1,no_oil,biomass,2010,DSR,12140.281964
90,1,no_oil,biomass,2010,RSN,41526.691869
90,1,no_oil,biomass,2010,VSN,13503.524528
90,1,no_oil,biomass,2010,LUT,82351.308641
90,1,no_oil,biomass,2010,BIO,7503.215986
90,1,no_oil,biomass,2010,LRF,14804.631798
90,1,no_oil,biomass,2010,SRF,53132.372014
90,1,no_oil,biomass,2010,BDR,2309.184178
90,1,no_oil,biomass,2010,RDR,11744.170586
90,1,no_oil,biomass,2010,SEA,16942.700635
90,1,no_oil,biomass,2010,SCI,72908.080463
90,1,no_oil,biomass,2010,LDY,18414.04378
90,1,no_oil,biomass,2010,MUL,57139.969806
90,1,no_oil,biomass,2010,POM,28416.673151
90,1,no_oil,biomass,2010,SHP,47477.412207
90,1,no_oil,biomass,2010,SNK,47681.114459
90,1,no_oil,biomass,2010,FLT,44862.665387
90,1,no_oil,biomass,2010,ODF,88370.8454
90,1,no_oil,biomass,2010,SDF,32242.740258
90,1,no_oil,biomass,2010,YTN,4378.456746
90,1,no_oil,biomass,2010,BTN,898.804084
90,1,no_oil,biomass,2010,LTN,19640.104334
90,1,no_oil,biomass,2010,OTN,1729.279105
90,1,no_oil,biomass,2010,SWD,47002.279314
90,1,no_oil,biomass,2010,WMR,2711.918862
90,1,no_oil,biomass,2010,BMR,6722.843876
90,1,no_oil,biomass,2010,BIL,2998.465371
90,1,no_oil,biomass,2010,AMB,1802.568015
90,1,no_oil,biomass,2010,JCK,15182.109007
90,1,no_oil,biomass,2010,KMK,18717.552612
90,1,no_oil,biomass,2010,SMK,13063.235472
90,1,no_oil,biomass,2010,SAR,153753.875498
90,1,no_oil,biomass,2010,LPL,30688.943387
90,1,no_oil,biomass,2010,DWF,38083.413682
90,1,no_oil,biomass,2010,MEN,7058277.41101
90,1,no_oil,biomass,2010,PIN,46101.165278
90,1,no_oil,biomass,2010,MPL,46231.000894
90,1,no_oil,biomass,2010,SPL,793927.655666
90,1,no_oil,biomass,2010,TIP,5768.354755
90,1,no_oil,biomass,2010,BEN,597430.733879
90,1,no_oil,biomass,2010,LGS,277694.073474
90,1,no_oil,biomass,2010,FIL,163.311768
90,1,no_oil,biomass,2010,SMS,66085.169586
90,1,no_oil,biomass,2010,RAY,116995.460519
90,1,no_oil,biomass,2010,BSH,452813.09676
90,1,no_oil,biomass,2010,WSH,51268.799517
90,1,no_oil,biomass,2010,PSH,9234.836171
90,1,no_oil,biomass,2010,OSH,184545.061156
90,1,no_oil,biomass,2010,DBR,318611.175567
90,1,no_oil,biomass,2010,SBR,650356.899975
90,1,no_oil,biomass,2010,MAN,315.568005
90,1,no_oil,biomass,2010,MYS,558.60417
90,1,no_oil,biomass,2010,DOL,5970.909352
90,1,no_oil,biomass,2010,DDO,6202.142104
90,1,no_oil,biomass,2010,LOG,16052.248299
90,1,no_oil,biomass,2010,KMP,153194.324867
90,1,no_oil,biomass,2010,TUR,61617.433834
90,1,no_oil,biomass,2010,BCR,295578.92437
90,1,no_oil,biomass,2010,SCR,190544.941259
90,1,no_oil,biomass,2010,LOB,75462.316857
90,1,no_oil,biomass,2010,COR,9900.626056
90,1,no_oil,biomass,2010,CCA,22624.695452
90,1,no_oil,biomass,2010,OCT,6469.180436
90,1,no_oil,biomass,2010,SPG,59984.936552
90,1,no_oil,biomass,2010,CMB,768297.961626
90,1,no_oil,biomass,2010,INF,32819031.956739
90,1,no_oil,biomass,2010,ECH,12457253.850639
90,1,no_oil,biomass,2010,OYS,12754428.624487
90,1,no_oil,biomass,2010,BIV,6630982.157708
90,1,no_oil,biomass,2010,SES,772362.459089
90,1,no_oil,biomass,2010,EPI,69791.369164
90,1,no_oil,biomass,2010,GRS,226503.047275
90,1,no_oil,biomass,2010,ALG,113444.136594
90,1,no_oil,biomass,2010,MPB,2616321.806707
90,1,no_oil,biomass,2010,LPP,96638411.441571
90,1,no_oil,biomass,2010,SPP,356343752.533614
90,1,no_oil,biomass,2010,DIN,79782.145333
90,1,no_oil,biomass,2010,PRO,130232791.546901
90,1,no_oil,biomass,2010,JEL,4392026.25047
90,1,no_oil,biomass,2010,SQU,7601681.285053
90,1,no_oil,biomass,2010,LZP,47585891.604693
90,1,no_oil,biomass,2010,SZP,81363018.536038
90,1,no_oil,biomass,2010,PB,3205433328.60861
90,1,no_oil,biomass,2010,BB,126735254.535793
90,1,no_oil,biomass,2010,DC,242569860.255677
90,1,no_oil,biomass,2010,DL,13341877304.3514
90,1,no_oil,biomass,2010,DR,1104931644.99292
120,1,no_oil,biomass,2010,GAG,2414.523438
120,1,no_oil,biomass,2010,RGR,10557.682982
120,1,no_oil,biomass,2010,SCM,729.050186
120,1,no_oil,biomass,2010,SSR,108410.000348
120,1,no_oil,biomass,2010,DSR,12362.01639
120,1,no_oil,biomass,2010,RSN,42941.091293
120,1,no_oil,biomass,2010,VSN,13693.09103
120,1,no_oil,biomass,2010,LUT,79728.935773
120,1,no_oil,biomass,2010,BIO,7811.955159
120,1,no_oil,biomass,2010,LRF,15670.070557
120,1,no_oil,biomass,2010,SRF,58528.052899
120,1,no_oil,biomass,2010,BDR,2392.32114
120,1,no_oil,biomass,2010,RDR,12070.279898
120,1,no_oil,biomass,2010,SEA,18110.754847
120,1,no_oil,biomass,2010,SCI,83272.69642
120,1,no_oil,biomass,2010,LDY,19540.867446
120,1,no_oil,biomass,2010,MUL,60675.519241
120,1,no_oil,biomass,2010,POM,29343.507278
120,1,no_oil,biomass,2010,SHP,53063.556807
120,1,no_oil,biomass,2010,SNK,50903.689733
120,1,no_oil,biomass,2010,FLT,46875.599678
120,1,no_oil,biomass,2010,ODF,90050.913466
120,1,no_oil,biomass,2010,SDF,37763.849334
120,1,no_oil,biomass,2010,YTN,4534.534367
120,1,no_oil,biomass,2010,BTN,894.763331
120,1,no_oil,biomass,2010,LTN,20530.964659
120,1,no_oil,biomass,2010,OTN,1929.601448
120,1,no_oil,biomass,2010,SWD,49719.046081
120,1,no_oil,biomass,2010,WMR,2798.322291
120,1,no_oil,biomass,2010,BMR,5822.706278
120,1,no_oil,biomass,2010,BIL,3019.642723
120,1,no_oil,biomass,2010,AMB,1915.384504
120,1,no_oil,biomass,2010,JCK,15835.834095
120,1,no_oil,biomass,2010,KMK,18697.633421
120,1,no_oil,biomass,2010,SMK,12908.390746
120,1,no_oil,biomass,2010,SAR,190692.823379
120,1,no_oil,biomass,2010,LPL,34769.615736
120,1,no_oil,biomass,2010,DWF,39218.380252
120,1,no_oil,biomass,2010,MEN,7645175.078822
120,1,no_oil,biomass,2010,PIN,49109.093491
120,1,no_oil,biomass,2010,MPL,50324.525215
120,1,no_oil,biomass,2010,SPL,826597.40676
120,1,no_oil,biomass,2010,TIP,6496.741226
120,1,no_oil,biomass,2010,BEN,609036.322225
120,1,no_oil,biomass,2010,LGS,277182.052179
120,1,no_oil,biomass,2010,FIL,164.014421
120,1,no_oil,biomass,2010,SMS,64798.687205
120,1,no_oil,biomass,2010,RAY,102601.759776
120,1,no_oil,biomass,2010,BSH,369373.614589
120,1,no_oil,biomass,2010,WSH,39860.602857
120,1,no_oil,biomass,2010,PSH,8606.79495
120,1,no_oil,biomass,2010,OSH,152090.221398
120,1,no_oil,biomass,2010,DBR,321639.523143
120,1,no_oil,biomass,2010,SBR,662299.267447
120,1,no_oil,biomass,2010,MAN,320.712635
120,1,no_oil,biomass,2010,MYS,558.747536
120,1,no_oil,biomass,2010,DOL,5345.974323
120,1,no_oil,biomass,2010,DDO,5417.667044
120,1,no_oil,biomass,2010,LOG,15383.528679
120,1,no_oil,biomass,2010,KMP,223302.125658
120,1,no_oil,biomass,2010,TUR,61653.957411
120,1,no_oil,biomass,2010,BCR,294136.46475
120,1,no_oil,biomass,2010,SCR,190484.106094
120,1,no_oil,biomass,2010,LOB,75081.876789
120,1,no_oil,biomass,2010,COR,9899.982458
