time,simulation,scenario,variable,year,fg_atlantis,value_mt
365,1,no_oil,catch,2011,RGR,3632.969852
365,1,no_oil,catch,2011,SCM,9.587249
365,1,no_oil,catch,2011,SSR,258.597257
365,1,no_oil,catch,2011,DSR,4321.651609
365,1,no_oil,catch,2011,RSN,5432.267838
365,1,no_oil,catch,2011,VSN,36.200396
365,1,no_oil,catch,2011,LUT,82514.446146
365,1,no_oil,catch,2011,BIO,1.903344
365,1,no_oil,catch,2011,LRF,10.50621
365,1,no_oil,catch,2011,SRF,255.767963
365,1,no_oil,catch,2011,BDR,326.979482
365,1,no_oil,catch,2011,RDR,1302.354889
365,1,no_oil,catch,2011,SEA,11283.535086
365,1,no_oil,catch,2011,SCI,154.333459
365,1,no_oil,catch,2011,LDY,447.956035
365,1,no_oil,catch,2011,MUL,10803.379655
365,1,no_oil,catch,2011,POM,753.051469
365,1,no_oil,catch,2011,SHP,3308.073678
365,1,no_oil,catch,2011,SNK,387.435624
365,1,no_oil,catch,2011,FLT,199.852821
365,1,no_oil,catch,2011,ODF,9229.330825
365,1,no_oil,catch,2011,SDF,4.563882
365,1,no_oil,catch,2011,YTN,125.378556
365,1,no_oil,catch,2011,BTN,38.022205
365,1,no_oil,catch,2011,LTN,258.415487
365,1,no_oil,catch,2011,OTN,0
365,1,no_oil,catch,2011,SWD,376.007257
365,1,no_oil,catch,2011,WMR,191.116029
365,1,no_oil,catch,2011,BMR,3482.280294
365,1,no_oil,catch,2011,BIL,2120.066682
365,1,no_oil,catch,2011,AMB,188.426992
365,1,no_oil,catch,2011,JCK,327.860796
365,1,no_oil,catch,2011,KMK,2919.176447
365,1,no_oil,catch,2011,SMK,5746.850822
365,1,no_oil,catch,2011,SAR,1385.487383
365,1,no_oil,catch,2011,LPL,12824.510783
365,1,no_oil,catch,2011,DWF,0
365,1,no_oil,catch,2011,MEN,747533.826231
365,1,no_oil,catch,2011,PIN,165.301014
365,1,no_oil,catch,2011,MPL,95.646231
365,1,no_oil,catch,2011,SPL,524.595038
365,1,no_oil,catch,2011,TIP,189.786718
365,1,no_oil,catch,2011,BEN,42243.243744
365,1,no_oil,catch,2011,LGS,335511.097559
365,1,no_oil,catch,2011,FIL,0
365,1,no_oil,catch,2011,SMS,325.088894
365,1,no_oil,catch,2011,RAY,709.832993
365,1,no_oil,catch,2011,BSH,113838.857716
365,1,no_oil,catch,2011,WSH,88169.894689
365,1,no_oil,catch,2011,PSH,11561.64781
365,1,no_oil,catch,2011,OSH,212.734365
365,1,no_oil,catch,2011,DBR,0
365,1,no_oil,catch,2011,SBR,0
365,1,no_oil,catch,2011,MAN,0
365,1,no_oil,catch,2011,MYS,0
365,1,no_oil,catch,2011,DOL,0
365,1,no_oil,catch,2011,DDO,0
365,1,no_oil,catch,2011,LOG,0
365,1,no_oil,catch,2011,KMP,0
365,1,no_oil,catch,2011,TUR,0
365,1,no_oil,catch,2011,BCR,14180.294396
365,1,no_oil,catch,2011,SCR,1698.308912
365,1,no_oil,catch,2011,LOB,232.809978
365,1,no_oil,catch,2011,CMB,233464.80581
365,1,no_oil,catch,2011,OYS,171123.853446
365,1,no_oil,catch,2011,BIV,128654.68505
365,1,no_oil,catch,2011,SES,0
365,1,no_oil,catch,2011,SQU,11297.939541
730,1,no_oil,catch,2012,RGR,3028.682699
730,1,no_oil,catch,2012,SCM,13.70516
730,1,no_oil,catch,2012,SSR,226.650198
730,1,no_oil,catch,2012,DSR,3752.41947
730,1,no_oil,catch,2012,RSN,4726.863099
730,1,no_oil,catch,2012,VSN,31.268333
730,1,no_oil,catch,2012,LUT,34493.185126
730,1,no_oil,catch,2012,BIO,2.575623
730,1,no_oil,catch,2012,LRF,16.38034
730,1,no_oil,catch,2012,SRF,534.153317
730,1,no_oil,catch,2012,BDR,335.000634
730,1,no_oil,catch,2012,RDR,1248.386979
730,1,no_oil,catch,2012,SEA,13868.285091
730,1,no_oil,catch,2012,SCI,301.460716
730,1,no_oil,catch,2012,LDY,610.139923
730,1,no_oil,catch,2012,MUL,13609.692569
730,1,no_oil,catch,2012,POM,924.303986
730,1,no_oil,catch,2012,SHP,4393.890299
730,1,no_oil,catch,2012,SNK,523.250231
730,1,no_oil,catch,2012,FLT,398.09257
