time,Fishery,simulation,scenario,variable,year,fg_atlantis,value_mt
365,SprtEst,1,no_oil,catch_fishery,2011,GAG,0
365,SprtEst,1,no_oil,catch_fishery,2011,RGR,0
365,SprtEst,1,no_oil,catch_fishery,2011,SCM,0
365,SprtEst,1,no_oil,catch_fishery,2011,SSR,0
365,SprtEst,1,no_oil,catch_fishery,2011,DSR,0
365,SprtEst,1,no_oil,catch_fishery,2011,RSN,0
365,SprtEst,1,no_oil,catch_fishery,2011,VSN,0
365,SprtEst,1,no_oil,catch_fishery,2011,LUT,0
365,SprtEst,1,no_oil,catch_fishery,2011,BIO,0
365,SprtEst,1,no_oil,catch_fishery,2011,LRF,0
365,SprtEst,1,no_oil,catch_fishery,2011,SRF,0.5305997
365,SprtEst,1,no_oil,catch_fishery,2011,BDR,74.34871
365,SprtEst,1,no_oil,catch_fishery,2011,RDR,2.749418
365,SprtEst,1,no_oil,catch_fishery,2011,SEA,301.4447
365,SprtEst,1,no_oil,catch_fishery,2011,SCI,7.166231
365,SprtEst,1,no_oil,catch_fishery,2011,LDY,119.2043
365,SprtEst,1,no_oil,catch_fishery,2011,MUL,2886.21
365,SprtEst,1,no_oil,catch_fishery,2011,POM,38.56581
365,SprtEst,1,no_oil,catch_fishery,2011,SHP,194.1084
365,SprtEst,1,no_oil,catch_fishery,2011,SNK,0
365,SprtEst,1,no_oil,catch_fishery,2011,FLT,21.2532
365,SprtEst,1,no_oil,catch_fishery,2011,ODF,3.052324
365,SprtEst,1,no_oil,catch_fishery,2011,SDF,0
365,SprtEst,1,no_oil,catch_fishery,2011,YTN,0
365,SprtEst,1,no_oil,catch_fishery,2011,BTN,0
365,SprtEst,1,no_oil,catch_fishery,2011,LTN,1.016407
365,SprtEst,1,no_oil,catch_fishery,2011,OTN,0
365,SprtEst,1,no_oil,catch_fishery,2011,SWD,0
365,SprtEst,1,no_oil,catch_fishery,2011,WMR,0
365,SprtEst,1,no_oil,catch_fishery,2011,BMR,0
365,SprtEst,1,no_oil,catch_fishery,2011,BIL,0
365,SprtEst,1,no_oil,catch_fishery,2011,AMB,0
365,SprtEst,1,no_oil,catch_fishery,2011,JCK,0.5997922
365,SprtEst,1,no_oil,catch_fishery,2011,KMK,0
365,SprtEst,1,no_oil,catch_fishery,2011,SMK,806.0801
365,SprtEst,1,no_oil,catch_fishery,2011,SAR,0
365,SprtEst,1,no_oil,catch_fishery,2011,LPL,57.42824
365,SprtEst,1,no_oil,catch_fishery,2011,DWF,0
365,SprtEst,1,no_oil,catch_fishery,2011,MEN,0
365,SprtEst,1,no_oil,catch_fishery,2011,PIN,0
365,SprtEst,1,no_oil,catch_fishery,2011,MPL,0
365,SprtEst,1,no_oil,catch_fishery,2011,SPL,6.637126
365,SprtEst,1,no_oil,catch_fishery,2011,TIP,0
365,SprtEst,1,no_oil,catch_fishery,2011,BEN,0
365,SprtEst,1,no_oil,catch_fishery,2011,LGS,3549.48
365,SprtEst,1,no_oil,catch_fishery,2011,FIL,0
365,SprtEst,1,no_oil,catch_fishery,2011,SMS,0
365,SprtEst,1,no_oil,catch_fishery,2011,RAY,0.5746187
365,SprtEst,1,no_oil,catch_fishery,2011,BSH,0
365,SprtEst,1,no_oil,catch_fishery,2011,WSH,0
365,SprtEst,1,no_oil,catch_fishery,2011,PSH,0
365,SprtEst,1,no_oil,catch_fishery,2011,OSH,0
365,SprtEst,1,no_oil,catch_fishery,2011,DBR,0
365,SprtEst,1,no_oil,catch_fishery,2011,SBR,0
365,SprtEst,1,no_oil,catch_fishery,2011,MAN,0
365,SprtEst,1,no_oil,catch_fishery,2011,MYS,0
365,SprtEst,1,no_oil,catch_fishery,2011,DOL,0
365,SprtEst,1,no_oil,catch_fishery,2011,DDO,0
365,SprtEst,1,no_oil,catch_fishery,2011,LOG,0
365,SprtEst,1,no_oil,catch_fishery,2011,KMP,0
365,SprtEst,1,no_oil,catch_fishery,2011,TUR,0
365,SprtEst,1,no_oil,catch_fishery,2011,BCR,0
365,SprtEst,1,no_oil,catch_fishery,2011,SCR,0
365,SprtEst,1,no_oil,catch_fishery,2011,LOB,0
365,SprtEst,1,no_oil,catch_fishery,2011,CMB,0
365,SprtEst,1,no_oil,catch_fishery,2011,OYS,0
365,SprtEst,1,no_oil,catch_fishery,2011,BIV,0
365,SprtEst,1,no_oil,catch_fishery,2011,SES,0
365,SprtEst,1,no_oil,catch_fishery,2011,SQU,0
365,GillnetEst,1,no_oil,catch_fishery,2011,GAG,0
365,GillnetEst,1,no_oil,catch_fishery,2011,RGR,0
365,GillnetEst,1,no_oil,catch_fishery,2011,SCM,0
365,GillnetEst,1,no_oil,catch_fishery,2011,SSR,0
365,GillnetEst,1,no_oil,catch_fishery,2011,DSR,0
365,GillnetEst,1,no_oil,catch_fishery,2011,RSN,0
365,GillnetEst,1,no_oil,catch_fishery,2011,VSN,0
365,GillnetEst,1,no_oil,catch_fishery,2011,LUT,0
365,GillnetEst,1,no_oil,catch_fishery,2011,BIO,0
365,GillnetEst,1,no_oil,catch_fishery,2011,LRF,0
365,GillnetEst,1,no_oil,catch_fishery,2011,SRF,0
365,GillnetEst,1,no_oil,catch_fishery,2011,BDR,0
365,GillnetEst,1,no_oil,catch_fishery,2011,RDR,0
365,GillnetEst,1,no_oil,catch_fishery,2011,SEA,0
365,GillnetEst,1,no_oil,catch_fishery,2011,SCI,0
365,GillnetEst,1,no_oil,catch_fishery,2011,LDY,0
365,GillnetEst,1,no_oil,catch_fishery,2011,MUL,0
365,GillnetEst,1,no_oil,catch_fishery,2011,POM,0
365,GillnetEst,1,no_oil,catch_fishery,2011,SHP,0
365,GillnetEst,1,no_oil,catch_fishery,2011,SNK,0
365,GillnetEst,1,no_oil,catch_fishery,2011,FLT,3.68456
365,GillnetEst,1,no_oil,catch_fishery,2011,ODF,0
365,GillnetEst,1,no_oil,catch_fishery,2011,SDF,0
365,GillnetEst,1,no_oil,catch_fishery,2011,YTN,0
365,GillnetEst,1,no_oil,catch_fishery,2011,BTN,0
365,GillnetEst,1,no_oil,catch_fishery,2011,LTN,0
365,GillnetEst,1,no_oil,catch_fishery,2011,OTN,0
365,GillnetEst,1,no_oil,catch_fishery,2011,SWD,0
365,GillnetEst,1,no_oil,catch_fishery,2011,WMR,0
365,GillnetEst,1,no_oil,catch_fishery,2011,BMR,0
365,GillnetEst,1,no_oil,catch_fishery,2011,BIL,0
365,GillnetEst,1,no_oil,catch_fishery,2011,AMB,0
365,GillnetEst,1,no_oil,catch_fishery,2011,JCK,0
365,GillnetEst,1,no_oil,catch_fishery,2011,KMK,0
365,GillnetEst,1,no_oil,catch_fishery,2011,SMK,0
365,GillnetEst,1,no_oil,catch_fishery,2011,SAR,0
365,GillnetEst,1,no_oil,catch_fishery,2011,LPL,0
365,GillnetEst,1,no_oil,catch_fishery,2011,DWF,0
365,GillnetEst,1,no_oil,catch_fishery,2011,MEN,0
365,GillnetEst,1,no_oil,catch_fishery,2011,PIN,0
365,GillnetEst,1,no_oil,catch_fishery,2011,MPL,0
365,GillnetEst,1,no_oil,catch_fishery,2011,SPL,0
365,GillnetEst,1,no_oil,catch_fishery,2011,TIP,0
365,GillnetEst,1,no_oil,catch_fishery,2011,BEN,0
365,GillnetEst,1,no_oil,catch_fishery,2011,LGS,0
365,GillnetEst,1,no_oil,catch_fishery,2011,FIL,0
365,GillnetEst,1,no_oil,catch_fishery,2011,SMS,0
365,GillnetEst,1,no_oil,catch_fishery,2011,RAY,0
365,GillnetEst,1,no_oil,catch_fishery,2011,BSH,10341.16
365,GillnetEst,1,no_oil,catch_fishery,2011,WSH,12108.57
365,GillnetEst,1,no_oil,catch_fishery,2011,PSH,441.7214
365,GillnetEst,1,no_oil,catch_fishery,2011,OSH,4.61887
365,GillnetEst,1,no_oil,catch_fishery,2011,DBR,0
365,GillnetEst,1,no_oil,catch_fishery,2011,SBR,0
