time,simulation,scenario,variable,year,fg_atlantis,value_mt
30,1,oil_all,biomass,2010,GAG,3394.487162
30,1,oil_all,biomass,2010,RGR,14266.892599
30,1,oil_all,biomass,2010,SCM,560.688595
30,1,oil_all,biomass,2010,SSR,96179.425441
30,1,oil_all,biomass,2010,DSR,11671.464117
30,1,oil_all,biomass,2010,RSN,37737.280514
30,1,oil_all,biomass,2010,VSN,12917.352109
30,1,oil_all,biomass,2010,LUT,94166.542739
30,1,oil_all,biomass,2010,BIO,6841.9515
30,1,oil_all,biomass,2010,LRF,13030.508616
30,1,oil_all,biomass,2010,SRF,42694.511788
30,1,oil_all,biomass,2010,BDR,2845.709017
30,1,oil_all,biomass,2010,RDR,11105.500021
30,1,oil_all,biomass,2010,SEA,14274.429756
30,1,oil_all,biomass,2010,SCI,51569.577641
30,1,oil_all,biomass,2010,LDY,15693.398309
30,1,oil_all,biomass,2010,MUL,49068.817052
30,1,oil_all,biomass,2010,POM,26251.371553
30,1,oil_all,biomass,2010,SHP,58041.965891
30,1,oil_all,biomass,2010,SNK,40367.181
30,1,oil_all,biomass,2010,FLT,31407.784962
30,1,oil_all,biomass,2010,ODF,83854.468844
30,1,oil_all,biomass,2010,SDF,23679.849919
30,1,oil_all,biomass,2010,YTN,3912.913987
30,1,oil_all,biomass,2010,BTN,906.061146
30,1,oil_all,biomass,2010,LTN,17815.474803
30,1,oil_all,biomass,2010,OTN,1340.193602
30,1,oil_all,biomass,2010,SWD,46179.489647
30,1,oil_all,biomass,2010,WMR,2559.769622
30,1,oil_all,biomass,2010,BMR,8032.519341
30,1,oil_all,biomass,2010,BIL,2957.457221
30,1,oil_all,biomass,2010,AMB,1547.113483
30,1,oil_all,biomass,2010,JCK,13717.850203
30,1,oil_all,biomass,2010,KMK,18707.789315
30,1,oil_all,biomass,2010,SMK,13352.696263
30,1,oil_all,biomass,2010,SAR,77290.607163
30,1,oil_all,biomass,2010,LPL,22582.800151
30,1,oil_all,biomass,2010,DWF,35820.330898
30,1,oil_all,biomass,2010,MEN,5941983.872287
30,1,oil_all,biomass,2010,PIN,39820.177148
30,1,oil_all,biomass,2010,MPL,37634.918932
30,1,oil_all,biomass,2010,SPL,718005.659094
30,1,oil_all,biomass,2010,TIP,4288.650208
30,1,oil_all,biomass,2010,BEN,572875.909486
30,1,oil_all,biomass,2010,LGS,423670.887116
30,1,oil_all,biomass,2010,FIL,161.689599
30,1,oil_all,biomass,2010,SMS,65057.94151
30,1,oil_all,biomass,2010,RAY,104485.380327
30,1,oil_all,biomass,2010,BSH,443651.590166
30,1,oil_all,biomass,2010,WSH,46374.448393
30,1,oil_all,biomass,2010,PSH,12300.439816
30,1,oil_all,biomass,2010,OSH,171016.718457
30,1,oil_all,biomass,2010,DBR,296262.559657
30,1,oil_all,biomass,2010,SBR,608158.51379
30,1,oil_all,biomass,2010,MAN,304.331346
30,1,oil_all,biomass,2010,MYS,558.325793
30,1,oil_all,biomass,2010,DOL,6000.299051
30,1,oil_all,biomass,2010,DDO,6057.283018
30,1,oil_all,biomass,2010,LOG,15913.610617
30,1,oil_all,biomass,2010,KMP,152419.647086
30,1,oil_all,biomass,2010,TUR,62557.38088
30,1,oil_all,biomass,2010,BCR,298564.188495
30,1,oil_all,biomass,2010,SCR,190711.527403
30,1,oil_all,biomass,2010,LOB,76299.719155
30,1,oil_all,biomass,2010,COR,9901.967617
30,1,oil_all,biomass,2010,CCA,22631.707505
30,1,oil_all,biomass,2010,OCT,6469.211643
30,1,oil_all,biomass,2010,SPG,42312.392994
30,1,oil_all,biomass,2010,CMB,879631.665307
30,1,oil_all,biomass,2010,INF,32786095.19282
30,1,oil_all,biomass,2010,ECH,12465920.73514
30,1,oil_all,biomass,2010,OYS,13014352.707098
30,1,oil_all,biomass,2010,BIV,6614820.103914
30,1,oil_all,biomass,2010,SES,786666.729871
30,1,oil_all,biomass,2010,EPI,69791.710466
30,1,oil_all,biomass,2010,GRS,226504.953009
30,1,oil_all,biomass,2010,ALG,113445.153621
30,1,oil_all,biomass,2010,MPB,723301.798288
30,1,oil_all,biomass,2010,LPP,119917622.040611
30,1,oil_all,biomass,2010,SPP,322837168.386641
30,1,oil_all,biomass,2010,DIN,45413.120123
30,1,oil_all,biomass,2010,PRO,249079448.75828
30,1,oil_all,biomass,2010,JEL,3043393.218657
30,1,oil_all,biomass,2010,SQU,8120442.62357
30,1,oil_all,biomass,2010,LZP,61705352.413896
30,1,oil_all,biomass,2010,SZP,112485970.216329
30,1,oil_all,biomass,2010,PB,2585030533.83829
30,1,oil_all,biomass,2010,BB,103432365.81185
30,1,oil_all,biomass,2010,DC,5556959271.45744
30,1,oil_all,biomass,2010,DL,13823656191.2537
30,1,oil_all,biomass,2010,DR,1761343455.60343
60,1,oil_all,biomass,2010,GAG,3541.005513
60,1,oil_all,biomass,2010,RGR,9536.928402
60,1,oil_all,biomass,2010,SCM,615.278821
60,1,oil_all,biomass,2010,SSR,101580.392167
60,1,oil_all,biomass,2010,DSR,11906.928401
60,1,oil_all,biomass,2010,RSN,39856.097364
60,1,oil_all,biomass,2010,VSN,13245.313212
60,1,oil_all,biomass,2010,LUT,86605.012975
60,1,oil_all,biomass,2010,BIO,7181.748579
60,1,oil_all,biomass,2010,LRF,13917.503386
60,1,oil_all,biomass,2010,SRF,47836.088104
60,1,oil_all,biomass,2010,BDR,2908.270204
60,1,oil_all,biomass,2010,RDR,11423.263835
60,1,oil_all,biomass,2010,SEA,15678.505245
60,1,oil_all,biomass,2010,SCI,62265.858283
60,1,oil_all,biomass,2010,LDY,17116.517586
60,1,oil_all,biomass,2010,MUL,53305.281058
60,1,oil_all,biomass,2010,POM,27372.332903
60,1,oil_all,biomass,2010,SHP,46525.20255
60,1,oil_all,biomass,2010,SNK,44171.811217
60,1,oil_all,biomass,2010,FLT,38221.645861
60,1,oil_all,biomass,2010,ODF,86271.831542
60,1,oil_all,biomass,2010,SDF,26843.418068
60,1,oil_all,biomass,2010,YTN,4162.895088
60,1,oil_all,biomass,2010,BTN,902.560368
60,1,oil_all,biomass,2010,LTN,18730.684645
60,1,oil_all,biomass,2010,OTN,1532.277125
60,1,oil_all,biomass,2010,SWD,46076.24377
60,1,oil_all,biomass,2010,WMR,2632.100529
60,1,oil_all,biomass,2010,BMR,6857.370406
60,1,oil_all,biomass,2010,BIL,2977.685076
60,1,oil_all,biomass,2010,AMB,1679.812215
60,1,oil_all,biomass,2010,JCK,14474.803314
60,1,oil_all,biomass,2010,KMK,18716.016144
60,1,oil_all,biomass,2010,SMK,13211.396101
60,1,oil_all,biomass,2010,SAR,116126.218434
60,1,oil_all,biomass,2010,LPL,26613.581193
60,1,oil_all,biomass,2010,DWF,36945.310078
60,1,oil_all,biomass,2010,MEN,6321392.680092
60,1,oil_all,biomass,2010,PIN,43004.923289
60,1,oil_all,biomass,2010,MPL,42004.792954
60,1,oil_all,biomass,2010,SPL,758039.522112
60,1,oil_all,biomass,2010,TIP,5030.676236
60,1,oil_all,biomass,2010,BEN,585363.21887
60,1,oil_all,biomass,2010,LGS,285495.405678
60,1,oil_all,biomass,2010,FIL,162.521757
60,1,oil_all,biomass,2010,SMS,65607.741995
60,1,oil_all,biomass,2010,RAY,110930.025395
60,1,oil_all,biomass,2010,BSH,452277.261843
60,1,oil_all,biomass,2010,WSH,48635.853469
60,1,oil_all,biomass,2010,PSH,10910.952677
60,1,oil_all,biomass,2010,OSH,179027.14045
60,1,oil_all,biomass,2010,DBR,311389.859728
60,1,oil_all,biomass,2010,SBR,633768.066448
60,1,oil_all,biomass,2010,MAN,310.084705
60,1,oil_all,biomass,2010,MYS,558.464178
60,1,oil_all,biomass,2010,DOL,5986.220676
60,1,oil_all,biomass,2010,DDO,6129.185798
60,1,oil_all,biomass,2010,LOG,15981.712384
60,1,oil_all,biomass,2010,KMP,152807.664079
60,1,oil_all,biomass,2010,TUR,62561.831696
60,1,oil_all,biomass,2010,BCR,297057.90157
60,1,oil_all,biomass,2010,SCR,190619.749226
60,1,oil_all,biomass,2010,LOB,75874.066517
60,1,oil_all,biomass,2010,COR,9901.289156
60,1,oil_all,biomass,2010,CCA,22628.158258
60,1,oil_all,biomass,2010,OCT,6469.198229
60,1,oil_all,biomass,2010,SPG,48038.588522
60,1,oil_all,biomass,2010,CMB,818422.695576
60,1,oil_all,biomass,2010,INF,32806401.009993
60,1,oil_all,biomass,2010,ECH,12460823.953165
60,1,oil_all,biomass,2010,OYS,12879597.30534
60,1,oil_all,biomass,2010,BIV,6622973.476369
60,1,oil_all,biomass,2010,SES,778165.873157
60,1,oil_all,biomass,2010,EPI,69791.548051
60,1,oil_all,biomass,2010,GRS,226503.844174
60,1,oil_all,biomass,2010,ALG,113444.566835
60,1,oil_all,biomass,2010,MPB,1698625.716296
60,1,oil_all,biomass,2010,LPP,102087190.472668
60,1,oil_all,biomass,2010,SPP,334689774.238208
60,1,oil_all,biomass,2010,DIN,41078.86383
60,1,oil_all,biomass,2010,PRO,151907819.082776
60,1,oil_all,biomass,2010,JEL,3623181.316329
60,1,oil_all,biomass,2010,SQU,7816543.233243
60,1,oil_all,biomass,2010,LZP,53732942.054908
60,1,oil_all,biomass,2010,SZP,93455863.651859
60,1,oil_all,biomass,2010,PB,3117199218.6841
60,1,oil_all,biomass,2010,BB,121746046.682294
60,1,oil_all,biomass,2010,DC,1137895239.26886
60,1,oil_all,biomass,2010,DL,13900578737.7823
60,1,oil_all,biomass,2010,DR,1477122137.29408
90,1,oil_all,biomass,2010,GAG,2246.209202
90,1,oil_all,biomass,2010,RGR,9902.925194
90,1,oil_all,biomass,2010,SCM,671.440007
90,1,oil_all,biomass,2010,SSR,105476.718423
90,1,oil_all,biomass,2010,DSR,12140.281964
90,1,oil_all,biomass,2010,RSN,41526.691869
90,1,oil_all,biomass,2010,VSN,13503.524528
90,1,oil_all,biomass,2010,LUT,82351.308641
90,1,oil_all,biomass,2010,BIO,7503.215986
90,1,oil_all,biomass,2010,LRF,14804.631798
90,1,oil_all,biomass,2010,SRF,53132.372014
90,1,oil_all,biomass,2010,BDR,2309.184178
90,1,oil_all,biomass,2010,RDR,11744.170586
90,1,oil_all,biomass,2010,SEA,16942.700635
90,1,oil_all,biomass,2010,SCI,72908.080463
90,1,oil_all,biomass,2010,LDY,18414.04378
90,1,oil_all,biomass,2010,MUL,57139.969806
90,1,oil_all,biomass,2010,POM,28416.673151
90,1,oil_all,biomass,2010,SHP,47477.412207
90,1,oil_all,biomass,2010,SNK,47681.114459
90,1,oil_all,biomass,2010,FLT,44862.665387
90,1,oil_all,biomass,2010,ODF,88370.8454
90,1,oil_all,biomass,2010,SDF,32242.740258
90,1,oil_all,biomass,2010,YTN,4378.456746
90,1,oil_all,biomass,2010,BTN,898.804084
90,1,oil_all,biomass,2010,LTN,19640.104334
90,1,oil_all,biomass,2010,OTN,1729.279105
90,1,oil_all,biomass,2010,SWD,47002.279314
90,1,oil_all,biomass,2010,WMR,2711.918862
90,1,oil_all,biomass,2010,BMR,6722.843876
90,1,oil_all,biomass,2010,BIL,2998.465371
90,1,oil_all,biomass,2010,AMB,1802.568015
90,1,oil_all,biomass,2010,JCK,15182.109007
90,1,oil_all,biomass,2010,KMK,18717.552612
90,1,oil_all,biomass,2010,SMK,13063.235472
90,1,oil_all,biomass,2010,SAR,153753.875498
90,1,oil_all,biomass,2010,LPL,30688.943387
90,1,oil_all,biomass,2010,DWF,38083.413682
90,1,oil_all,biomass,2010,MEN,7058277.41101
90,1,oil_all,biomass,2010,PIN,46101.165278
90,1,oil_all,biomass,2010,MPL,46231.000894
90,1,oil_all,biomass,2010,SPL,793927.655666
90,1,oil_all,biomass,2010,TIP,5768.354755
90,1,oil_all,biomass,2010,BEN,597430.733879
90,1,oil_all,biomass,2010,LGS,277694.073474
90,1,oil_all,biomass,2010,FIL,163.311768
90,1,oil_all,biomass,2010,SMS,66085.169586
90,1,oil_all,biomass,2010,RAY,116995.460519
90,1,oil_all,biomass,2010,BSH,452813.09676
90,1,oil_all,biomass,2010,WSH,51268.799517
90,1,oil_all,biomass,2010,PSH,9234.836171
90,1,oil_all,biomass,2010,OSH,184545.061156
90,1,oil_all,biomass,2010,DBR,318611.175567
90,1,oil_all,biomass,2010,SBR,650356.899975
90,1,oil_all,biomass,2010,MAN,315.568005
90,1,oil_all,biomass,2010,MYS,558.60417
90,1,oil_all,biomass,2010,DOL,5970.909352
90,1,oil_all,biomass,2010,DDO,6202.142104
90,1,oil_all,biomass,2010,LOG,16052.248299
90,1,oil_all,biomass,2010,KMP,153194.324867
90,1,oil_all,biomass,2010,TUR,61617.433834
90,1,oil_all,biomass,2010,BCR,295578.92437
90,1,oil_all,biomass,2010,SCR,190544.941259
90,1,oil_all,biomass,2010,LOB,75462.316857
90,1,oil_all,biomass,2010,COR,9900.626056
90,1,oil_all,biomass,2010,CCA,22624.695452
90,1,oil_all,biomass,2010,OCT,6469.180436
90,1,oil_all,biomass,2010,SPG,59984.936552
90,1,oil_all,biomass,2010,CMB,768297.961626
90,1,oil_all,biomass,2010,INF,32819031.956739
90,1,oil_all,biomass,2010,ECH,12457253.850639
90,1,oil_all,biomass,2010,OYS,12754428.624487
90,1,oil_all,biomass,2010,BIV,6630982.157708
90,1,oil_all,biomass,2010,SES,772362.459089
90,1,oil_all,biomass,2010,EPI,69791.369164
90,1,oil_all,biomass,2010,GRS,226503.047275
90,1,oil_all,biomass,2010,ALG,113444.136594
90,1,oil_all,biomass,2010,MPB,2616321.806707
90,1,oil_all,biomass,2010,LPP,96638411.441571
90,1,oil_all,biomass,2010,SPP,356343752.533614
90,1,oil_all,biomass,2010,DIN,79782.145333
90,1,oil_all,biomass,2010,PRO,130232791.546901
90,1,oil_all,biomass,2010,JEL,4392026.25047
90,1,oil_all,biomass,2010,SQU,7601681.285053
90,1,oil_all,biomass,2010,LZP,47585891.604693
90,1,oil_all,biomass,2010,SZP,81363018.536038
90,1,oil_all,biomass,2010,PB,3205433328.60861
90,1,oil_all,biomass,2010,BB,126735254.535793
90,1,oil_all,biomass,2010,DC,242569860.255677
90,1,oil_all,biomass,2010,DL,13341877304.3514
90,1,oil_all,biomass,2010,DR,1104931644.99292
120,1,oil_all,biomass,2010,GAG,2373.405728
120,1,oil_all,biomass,2010,RGR,10526.755691
120,1,oil_all,biomass,2010,SCM,727.524331
120,1,oil_all,biomass,2010,SSR,107811.339944
120,1,oil_all,biomass,2010,DSR,12139.97494
120,1,oil_all,biomass,2010,RSN,42768.455747
120,1,oil_all,biomass,2010,VSN,13656.252068
120,1,oil_all,biomass,2010,LUT,79341.155817
120,1,oil_all,biomass,2010,BIO,7717.254974
120,1,oil_all,biomass,2010,LRF,15575.988423
120,1,oil_all,biomass,2010,SRF,57961.428417
120,1,oil_all,biomass,2010,BDR,2378.203878
120,1,oil_all,biomass,2010,RDR,12044.908159
120,1,oil_all,biomass,2010,SEA,18078.200682
120,1,oil_all,biomass,2010,SCI,82847.857213
120,1,oil_all,biomass,2010,LDY,19477.655262
120,1,oil_all,biomass,2010,MUL,59876.59873
120,1,oil_all,biomass,2010,POM,29138.906074
120,1,oil_all,biomass,2010,SHP,52806.632145
120,1,oil_all,biomass,2010,SNK,50747.477704
120,1,oil_all,biomass,2010,FLT,46446.669154
120,1,oil_all,biomass,2010,ODF,89143.794763
120,1,oil_all,biomass,2010,SDF,37006.972565
120,1,oil_all,biomass,2010,YTN,4190.666402
120,1,oil_all,biomass,2010,BTN,811.606595
120,1,oil_all,biomass,2010,LTN,18772.957535
120,1,oil_all,biomass,2010,OTN,1750.345538
120,1,oil_all,biomass,2010,SWD,45234.641706
120,1,oil_all,biomass,2010,WMR,2614.022895
120,1,oil_all,biomass,2010,BMR,5787.847407
120,1,oil_all,biomass,2010,BIL,2986.290751
120,1,oil_all,biomass,2010,AMB,1912.543327
120,1,oil_all,biomass,2010,JCK,15712.010416
120,1,oil_all,biomass,2010,KMK,18673.170211
120,1,oil_all,biomass,2010,SMK,12758.233814
120,1,oil_all,biomass,2010,SAR,190332.936037
120,1,oil_all,biomass,2010,LPL,33132.795629
120,1,oil_all,biomass,2010,DWF,37242.224564
120,1,oil_all,biomass,2010,MEN,7528314.165624
120,1,oil_all,biomass,2010,PIN,49109.286709
120,1,oil_all,biomass,2010,MPL,49445.39793
120,1,oil_all,biomass,2010,SPL,780857.252408
120,1,oil_all,biomass,2010,TIP,6483.513859
120,1,oil_all,biomass,2010,BEN,604864.473681
120,1,oil_all,biomass,2010,LGS,277088.303645
120,1,oil_all,biomass,2010,FIL,158.206119
120,1,oil_all,biomass,2010,SMS,64736.722408
120,1,oil_all,biomass,2010,RAY,101826.19933
120,1,oil_all,biomass,2010,BSH,369373.161974
120,1,oil_all,biomass,2010,WSH,39860.600468
120,1,oil_all,biomass,2010,PSH,8606.986647
120,1,oil_all,biomass,2010,OSH,152090.648473
120,1,oil_all,biomass,2010,DBR,321639.4976
120,1,oil_all,biomass,2010,SBR,662298.934316
120,1,oil_all,biomass,2010,MAN,320.712639
120,1,oil_all,biomass,2010,MYS,558.747536
120,1,oil_all,biomass,2010,DOL,5345.971452
120,1,oil_all,biomass,2010,DDO,5417.643392
120,1,oil_all,biomass,2010,LOG,15383.52923
120,1,oil_all,biomass,2010,KMP,223301.834807
120,1,oil_all,biomass,2010,TUR,61653.957544
120,1,oil_all,biomass,2010,BCR,294136.802361
120,1,oil_all,biomass,2010,SCR,190484.133683
120,1,oil_all,biomass,2010,LOB,75082.975866
120,1,oil_all,biomass,2010,COR,9899.98405
120,1,oil_all,biomass,2010,CCA,22621.357527
120,1,oil_all,biomass,2010,OCT,6469.162817
120,1,oil_all,biomass,2010,SPG,83082.926694
120,1,oil_all,biomass,2010,CMB,726262.438111
120,1,oil_all,biomass,2010,INF,32825420.999721
120,1,oil_all,biomass,2010,ECH,12454284.61664
120,1,oil_all,biomass,2010,OYS,12623289.337156
120,1,oil_all,biomass,2010,BIV,6631145.124589
120,1,oil_all,biomass,2010,SES,768174.150304
120,1,oil_all,biomass,2010,EPI,69791.189579
120,1,oil_all,biomass,2010,GRS,226502.423019
120,1,oil_all,biomass,2010,ALG,113443.791651
120,1,oil_all,biomass,2010,MPB,3258391.844085
120,1,oil_all,biomass,2010,LPP,98171743.079059
120,1,oil_all,biomass,2010,SPP,385149567.779605
120,1,oil_all,biomass,2010,DIN,224284.26343
120,1,oil_all,biomass,2010,PRO,69085116.174476
120,1,oil_all,biomass,2010,JEL,5306007.09087
120,1,oil_all,biomass,2010,SQU,7419210.20063
120,1,oil_all,biomass,2010,LZP,42712570.072671
120,1,oil_all,biomass,2010,SZP,72762758.102378
120,1,oil_all,biomass,2010,PB,3246583658.04858
120,1,oil_all,biomass,2010,BB,125888258.858805
120,1,oil_all,biomass,2010,DC,53549025.747543
120,1,oil_all,biomass,2010,DL,12941488024.0301
120,1,oil_all,biomass,2010,DR,890868416.303495
150,1,oil_all,biomass,2010,GAG,2311.047062
150,1,oil_all,biomass,2010,RGR,10753.201171
150,1,oil_all,biomass,2010,SCM,771.897121
150,1,oil_all,biomass,2010,SSR,105956.472064
150,1,oil_all,biomass,2010,DSR,8248.484913
150,1,oil_all,biomass,2010,RSN,42723.255952
150,1,oil_all,biomass,2010,VSN,13579.492345
150,1,oil_all,biomass,2010,LUT,64021.717819
150,1,oil_all,biomass,2010,BIO,7371.235158
150,1,oil_all,biomass,2010,LRF,15674.605313
150,1,oil_all,biomass,2010,SRF,59051.881147
150,1,oil_all,biomass,2010,BDR,2450.515
150,1,oil_all,biomass,2010,RDR,12155.985616
150,1,oil_all,biomass,2010,SEA,18861.404121
150,1,oil_all,biomass,2010,SCI,89470.870677
150,1,oil_all,biomass,2010,LDY,20013.903225
150,1,oil_all,biomass,2010,MUL,57361.913916
150,1,oil_all,biomass,2010,POM,28289.448536
150,1,oil_all,biomass,2010,SHP,54169.065053
150,1,oil_all,biomass,2010,SNK,52606.732952
150,1,oil_all,biomass,2010,FLT,51323.70511
150,1,oil_all,biomass,2010,ODF,71430.701244
150,1,oil_all,biomass,2010,SDF,36504.842315
150,1,oil_all,biomass,2010,YTN,2967.248988
150,1,oil_all,biomass,2010,BTN,496.656137
150,1,oil_all,biomass,2010,LTN,12347.643897
150,1,oil_all,biomass,2010,OTN,1209.233994
150,1,oil_all,biomass,2010,SWD,23418.657932
150,1,oil_all,biomass,2010,WMR,1823.637103
150,1,oil_all,biomass,2010,BMR,5109.59726
150,1,oil_all,biomass,2010,BIL,2482.600278
150,1,oil_all,biomass,2010,AMB,1989.608014
150,1,oil_all,biomass,2010,JCK,12988.163821
150,1,oil_all,biomass,2010,KMK,18282.142071
150,1,oil_all,biomass,2010,SMK,11654.549737
150,1,oil_all,biomass,2010,SAR,222433.91621
150,1,oil_all,biomass,2010,LPL,28854.175985
150,1,oil_all,biomass,2010,DWF,25445.109223
150,1,oil_all,biomass,2010,MEN,7365008.460503
150,1,oil_all,biomass,2010,PIN,52036.042024
150,1,oil_all,biomass,2010,MPL,46731.244227
150,1,oil_all,biomass,2010,SPL,649432.830441
150,1,oil_all,biomass,2010,TIP,7086.164134
150,1,oil_all,biomass,2010,BEN,438447.4375
150,1,oil_all,biomass,2010,LGS,270201.251304
150,1,oil_all,biomass,2010,FIL,104.75981
150,1,oil_all,biomass,2010,SMS,63186.944476
150,1,oil_all,biomass,2010,RAY,100907.680314
150,1,oil_all,biomass,2010,BSH,346808.886967
150,1,oil_all,biomass,2010,WSH,34231.876825
150,1,oil_all,biomass,2010,PSH,8209.612119
150,1,oil_all,biomass,2010,OSH,176906.620309
150,1,oil_all,biomass,2010,DBR,292901.357759
150,1,oil_all,biomass,2010,SBR,560984.87621
150,1,oil_all,biomass,2010,MAN,325.391538
150,1,oil_all,biomass,2010,MYS,532.063294
150,1,oil_all,biomass,2010,DOL,5336.8859
150,1,oil_all,biomass,2010,DDO,5497.160793
150,1,oil_all,biomass,2010,LOG,15655.482319
150,1,oil_all,biomass,2010,KMP,224588.778952
150,1,oil_all,biomass,2010,TUR,61692.7791
150,1,oil_all,biomass,2010,BCR,292711.855581
150,1,oil_all,biomass,2010,SCR,190421.527784
150,1,oil_all,biomass,2010,LOB,74746.650332
150,1,oil_all,biomass,2010,COR,9899.376077
150,1,oil_all,biomass,2010,CCA,22618.196732
150,1,oil_all,biomass,2010,OCT,6469.144744
