time,simulation,scenario,variable,year,fg_atlantis,value_mt
365,1,oil_all,catch,2011,RGR,3462.423644
365,1,oil_all,catch,2011,SCM,9.127589
365,1,oil_all,catch,2011,SSR,236.335615
365,1,oil_all,catch,2011,DSR,2778.979529
365,1,oil_all,catch,2011,RSN,5038.713461
365,1,oil_all,catch,2011,VSN,33.684609
365,1,oil_all,catch,2011,LUT,81159.351787
365,1,oil_all,catch,2011,BIO,1.351751
365,1,oil_all,catch,2011,LRF,8.389716
365,1,oil_all,catch,2011,SRF,171.992526
365,1,oil_all,catch,2011,BDR,241.169912
365,1,oil_all,catch,2011,RDR,1174.483229
365,1,oil_all,catch,2011,SEA,10296.421211
365,1,oil_all,catch,2011,SCI,123.892501
365,1,oil_all,catch,2011,LDY,360.004799
365,1,oil_all,catch,2011,MUL,7845.085772
365,1,oil_all,catch,2011,POM,563.34203
365,1,oil_all,catch,2011,SHP,2694.703049
365,1,oil_all,catch,2011,SNK,331.72209
365,1,oil_all,catch,2011,FLT,155.988288
365,1,oil_all,catch,2011,ODF,7217.25932
365,1,oil_all,catch,2011,SDF,3.757507
365,1,oil_all,catch,2011,YTN,58.196373
365,1,oil_all,catch,2011,BTN,19.886082
365,1,oil_all,catch,2011,LTN,115.908563
365,1,oil_all,catch,2011,OTN,0
365,1,oil_all,catch,2011,SWD,62.80969
365,1,oil_all,catch,2011,WMR,129.857245
365,1,oil_all,catch,2011,BMR,1939.047883
365,1,oil_all,catch,2011,BIL,1786.346026
365,1,oil_all,catch,2011,AMB,175.528978
365,1,oil_all,catch,2011,JCK,297.706273
365,1,oil_all,catch,2011,KMK,2762.193321
365,1,oil_all,catch,2011,SMK,4905.661383
365,1,oil_all,catch,2011,SAR,1257.863032
365,1,oil_all,catch,2011,LPL,5791.045003
365,1,oil_all,catch,2011,DWF,0
365,1,oil_all,catch,2011,MEN,747323.659528
365,1,oil_all,catch,2011,PIN,157.580552
365,1,oil_all,catch,2011,MPL,51.930005
365,1,oil_all,catch,2011,SPL,223.516057
365,1,oil_all,catch,2011,TIP,169.205884
365,1,oil_all,catch,2011,BEN,28649.081753
365,1,oil_all,catch,2011,LGS,334952.75454
365,1,oil_all,catch,2011,FIL,0
365,1,oil_all,catch,2011,SMS,300.302911
365,1,oil_all,catch,2011,RAY,512.950692
365,1,oil_all,catch,2011,BSH,113816.339603
365,1,oil_all,catch,2011,WSH,88169.881315
365,1,oil_all,catch,2011,PSH,11561.389893
365,1,oil_all,catch,2011,OSH,213.264492
365,1,oil_all,catch,2011,DBR,0
365,1,oil_all,catch,2011,SBR,0
365,1,oil_all,catch,2011,MAN,0
365,1,oil_all,catch,2011,MYS,0
365,1,oil_all,catch,2011,DOL,0
365,1,oil_all,catch,2011,DDO,0
365,1,oil_all,catch,2011,LOG,0
365,1,oil_all,catch,2011,KMP,0
365,1,oil_all,catch,2011,TUR,0
365,1,oil_all,catch,2011,BCR,14198.784918
