time,Fishery,simulation,scenario,variable,year,fg_atlantis,value_mt
365,SprtEst,1,oil_all,catch_fishery,2011,GAG,0
365,SprtEst,1,oil_all,catch_fishery,2011,RGR,0
365,SprtEst,1,oil_all,catch_fishery,2011,SCM,0
365,SprtEst,1,oil_all,catch_fishery,2011,SSR,0
365,SprtEst,1,oil_all,catch_fishery,2011,DSR,0
365,SprtEst,1,oil_all,catch_fishery,2011,RSN,0
365,SprtEst,1,oil_all,catch_fishery,2011,VSN,0
365,SprtEst,1,oil_all,catch_fishery,2011,LUT,0
365,SprtEst,1,oil_all,catch_fishery,2011,BIO,0
365,SprtEst,1,oil_all,catch_fishery,2011,LRF,0
365,SprtEst,1,oil_all,catch_fishery,2011,SRF,0.3574402
365,SprtEst,1,oil_all,catch_fishery,2011,BDR,54.83747
365,SprtEst,1,oil_all,catch_fishery,2011,RDR,2.479426
365,SprtEst,1,oil_all,catch_fishery,2011,SEA,275.041
365,SprtEst,1,oil_all,catch_fishery,2011,SCI,5.767925
365,SprtEst,1,oil_all,catch_fishery,2011,LDY,95.80145
365,SprtEst,1,oil_all,catch_fishery,2011,MUL,2094.809
365,SprtEst,1,oil_all,catch_fishery,2011,POM,28.82996
365,SprtEst,1,oil_all,catch_fishery,2011,SHP,158.1119
365,SprtEst,1,oil_all,catch_fishery,2011,SNK,0
365,SprtEst,1,oil_all,catch_fishery,2011,FLT,16.53563
365,SprtEst,1,oil_all,catch_fishery,2011,ODF,2.385133
365,SprtEst,1,oil_all,catch_fishery,2011,SDF,0
365,SprtEst,1,oil_all,catch_fishery,2011,YTN,0
365,SprtEst,1,oil_all,catch_fishery,2011,BTN,0
365,SprtEst,1,oil_all,catch_fishery,2011,LTN,0.4552842
365,SprtEst,1,oil_all,catch_fishery,2011,OTN,0
365,SprtEst,1,oil_all,catch_fishery,2011,SWD,0
365,SprtEst,1,oil_all,catch_fishery,2011,WMR,0
365,SprtEst,1,oil_all,catch_fishery,2011,BMR,0
365,SprtEst,1,oil_all,catch_fishery,2011,BIL,0
365,SprtEst,1,oil_all,catch_fishery,2011,AMB,0
365,SprtEst,1,oil_all,catch_fishery,2011,JCK,0.5445774
365,SprtEst,1,oil_all,catch_fishery,2011,KMK,0
365,SprtEst,1,oil_all,catch_fishery,2011,SMK,686.4032
365,SprtEst,1,oil_all,catch_fishery,2011,SAR,0
365,SprtEst,1,oil_all,catch_fishery,2011,LPL,25.02751
365,SprtEst,1,oil_all,catch_fishery,2011,DWF,0
365,SprtEst,1,oil_all,catch_fishery,2011,MEN,0
365,SprtEst,1,oil_all,catch_fishery,2011,PIN,0
365,SprtEst,1,oil_all,catch_fishery,2011,MPL,0
365,SprtEst,1,oil_all,catch_fishery,2011,SPL,2.823863
365,SprtEst,1,oil_all,catch_fishery,2011,TIP,0
365,SprtEst,1,oil_all,catch_fishery,2011,BEN,0
365,SprtEst,1,oil_all,catch_fishery,2011,LGS,3540.569
365,SprtEst,1,oil_all,catch_fishery,2011,FIL,0
365,SprtEst,1,oil_all,catch_fishery,2011,SMS,0
365,SprtEst,1,oil_all,catch_fishery,2011,RAY,0.4145649
365,SprtEst,1,oil_all,catch_fishery,2011,BSH,0
365,SprtEst,1,oil_all,catch_fishery,2011,WSH,0
365,SprtEst,1,oil_all,catch_fishery,2011,PSH,0
365,SprtEst,1,oil_all,catch_fishery,2011,OSH,0
365,SprtEst,1,oil_all,catch_fishery,2011,DBR,0
365,SprtEst,1,oil_all,catch_fishery,2011,SBR,0
365,SprtEst,1,oil_all,catch_fishery,2011,MAN,0
365,SprtEst,1,oil_all,catch_fishery,2011,MYS,0
365,SprtEst,1,oil_all,catch_fishery,2011,DOL,0
365,SprtEst,1,oil_all,catch_fishery,2011,DDO,0
365,SprtEst,1,oil_all,catch_fishery,2011,LOG,0
365,SprtEst,1,oil_all,catch_fishery,2011,KMP,0
365,SprtEst,1,oil_all,catch_fishery,2011,TUR,0
365,SprtEst,1,oil_all,catch_fishery,2011,BCR,0
365,SprtEst,1,oil_all,catch_fishery,2011,SCR,0
365,SprtEst,1,oil_all,catch_fishery,2011,LOB,0
365,SprtEst,1,oil_all,catch_fishery,2011,CMB,0
365,SprtEst,1,oil_all,catch_fishery,2011,OYS,0
365,SprtEst,1,oil_all,catch_fishery,2011,BIV,0
365,SprtEst,1,oil_all,catch_fishery,2011,SES,0
365,SprtEst,1,oil_all,catch_fishery,2011,SQU,0
365,GillnetEst,1,oil_all,catch_fishery,2011,GAG,0
365,GillnetEst,1,oil_all,catch_fishery,2011,RGR,0
365,GillnetEst,1,oil_all,catch_fishery,2011,SCM,0
365,GillnetEst,1,oil_all,catch_fishery,2011,SSR,0
365,GillnetEst,1,oil_all,catch_fishery,2011,DSR,0
365,GillnetEst,1,oil_all,catch_fishery,2011,RSN,0
365,GillnetEst,1,oil_all,catch_fishery,2011,VSN,0
365,GillnetEst,1,oil_all,catch_fishery,2011,LUT,0
365,GillnetEst,1,oil_all,catch_fishery,2011,BIO,0
365,GillnetEst,1,oil_all,catch_fishery,2011,LRF,0
365,GillnetEst,1,oil_all,catch_fishery,2011,SRF,0
365,GillnetEst,1,oil_all,catch_fishery,2011,BDR,0
365,GillnetEst,1,oil_all,catch_fishery,2011,RDR,0
365,GillnetEst,1,oil_all,catch_fishery,2011,SEA,0
365,GillnetEst,1,oil_all,catch_fishery,2011,SCI,0
365,GillnetEst,1,oil_all,catch_fishery,2011,LDY,0
365,GillnetEst,1,oil_all,catch_fishery,2011,MUL,0
365,GillnetEst,1,oil_all,catch_fishery,2011,POM,0
365,GillnetEst,1,oil_all,catch_fishery,2011,SHP,0
365,GillnetEst,1,oil_all,catch_fishery,2011,SNK,0
365,GillnetEst,1,oil_all,catch_fishery,2011,FLT,2.868325
365,GillnetEst,1,oil_all,catch_fishery,2011,ODF,0
365,GillnetEst,1,oil_all,catch_fishery,2011,SDF,0
365,GillnetEst,1,oil_all,catch_fishery,2011,YTN,0
365,GillnetEst,1,oil_all,catch_fishery,2011,BTN,0
365,GillnetEst,1,oil_all,catch_fishery,2011,LTN,0
365,GillnetEst,1,oil_all,catch_fishery,2011,OTN,0
365,GillnetEst,1,oil_all,catch_fishery,2011,SWD,0
365,GillnetEst,1,oil_all,catch_fishery,2011,WMR,0
365,GillnetEst,1,oil_all,catch_fishery,2011,BMR,0
365,GillnetEst,1,oil_all,catch_fishery,2011,BIL,0
365,GillnetEst,1,oil_all,catch_fishery,2011,AMB,0
365,GillnetEst,1,oil_all,catch_fishery,2011,JCK,0
365,GillnetEst,1,oil_all,catch_fishery,2011,KMK,0
365,GillnetEst,1,oil_all,catch_fishery,2011,SMK,0
365,GillnetEst,1,oil_all,catch_fishery,2011,SAR,0
365,GillnetEst,1,oil_all,catch_fishery,2011,LPL,0
365,GillnetEst,1,oil_all,catch_fishery,2011,DWF,0
365,GillnetEst,1,oil_all,catch_fishery,2011,MEN,0
365,GillnetEst,1,oil_all,catch_fishery,2011,PIN,0
365,GillnetEst,1,oil_all,catch_fishery,2011,MPL,0
365,GillnetEst,1,oil_all,catch_fishery,2011,SPL,0
365,GillnetEst,1,oil_all,catch_fishery,2011,TIP,0
365,GillnetEst,1,oil_all,catch_fishery,2011,BEN,0
365,GillnetEst,1,oil_all,catch_fishery,2011,LGS,0
365,GillnetEst,1,oil_all,catch_fishery,2011,FIL,0
365,GillnetEst,1,oil_all,catch_fishery,2011,SMS,0
365,GillnetEst,1,oil_all,catch_fishery,2011,RAY,0
365,GillnetEst,1,oil_all,catch_fishery,2011,BSH,10339.2
365,GillnetEst,1,oil_all,catch_fishery,2011,WSH,12108.56
365,GillnetEst,1,oil_all,catch_fishery,2011,PSH,441.7116
365,GillnetEst,1,oil_all,catch_fishery,2011,OSH,4.630316
365,GillnetEst,1,oil_all,catch_fishery,2011,DBR,0
365,GillnetEst,1,oil_all,catch_fishery,2011,SBR,0
365,GillnetEst,1,oil_all,catch_fishery,2011,MAN,0
365,GillnetEst,1,oil_all,catch_fishery,2011,MYS,0
365,GillnetEst,1,oil_all,catch_fishery,2011,DOL,0
365,GillnetEst,1,oil_all,catch_fishery,2011,DDO,0
365,GillnetEst,1,oil_all,catch_fishery,2011,LOG,0
365,GillnetEst,1,oil_all,catch_fishery,2011,KMP,0
365,GillnetEst,1,oil_all,catch_fishery,2011,TUR,0
365,GillnetEst,1,oil_all,catch_fishery,2011,BCR,0
365,GillnetEst,1,oil_all,catch_fishery,2011,SCR,0
365,GillnetEst,1,oil_all,catch_fishery,2011,LOB,0
365,GillnetEst,1,oil_all,catch_fishery,2011,CMB,0
365,GillnetEst,1,oil_all,catch_fishery,2011,OYS,0
365,GillnetEst,1,oil_all,catch_fishery,2011,BIV,1509.726
365,GillnetEst,1,oil_all,catch_fishery,2011,SES,0
365,GillnetEst,1,oil_all,catch_fishery,2011,SQU,0
365,TwlShpEst,1,oil_all,catch_fishery,2011,GAG,0
365,TwlShpEst,1,oil_all,catch_fishery,2011,RGR,0
365,TwlShpEst,1,oil_all,catch_fishery,2011,SCM,0
365,TwlShpEst,1,oil_all,catch_fishery,2011,SSR,0
365,TwlShpEst,1,oil_all,catch_fishery,2011,DSR,0
365,TwlShpEst,1,oil_all,catch_fishery,2011,RSN,0
365,TwlShpEst,1,oil_all,catch_fishery,2011,VSN,0
365,TwlShpEst,1,oil_all,catch_fishery,2011,LUT,0
365,TwlShpEst,1,oil_all,catch_fishery,2011,BIO,0
365,TwlShpEst,1,oil_all,catch_fishery,2011,LRF,0
365,TwlShpEst,1,oil_all,catch_fishery,2011,SRF,0
365,TwlShpEst,1,oil_all,catch_fishery,2011,BDR,0
365,TwlShpEst,1,oil_all,catch_fishery,2011,RDR,0
365,TwlShpEst,1,oil_all,catch_fishery,2011,SEA,0
365,TwlShpEst,1,oil_all,catch_fishery,2011,SCI,0
365,TwlShpEst,1,oil_all,catch_fishery,2011,LDY,0
365,TwlShpEst,1,oil_all,catch_fishery,2011,MUL,0
365,TwlShpEst,1,oil_all,catch_fishery,2011,POM,0
365,TwlShpEst,1,oil_all,catch_fishery,2011,SHP,0
365,TwlShpEst,1,oil_all,catch_fishery,2011,SNK,0
365,TwlShpEst,1,oil_all,catch_fishery,2011,FLT,0
365,TwlShpEst,1,oil_all,catch_fishery,2011,ODF,0
365,TwlShpEst,1,oil_all,catch_fishery,2011,SDF,0
365,TwlShpEst,1,oil_all,catch_fishery,2011,YTN,0
365,TwlShpEst,1,oil_all,catch_fishery,2011,BTN,0
365,TwlShpEst,1,oil_all,catch_fishery,2011,LTN,0
365,TwlShpEst,1,oil_all,catch_fishery,2011,OTN,0
365,TwlShpEst,1,oil_all,catch_fishery,2011,SWD,0
365,TwlShpEst,1,oil_all,catch_fishery,2011,WMR,0
365,TwlShpEst,1,oil_all,catch_fishery,2011,BMR,0
365,TwlShpEst,1,oil_all,catch_fishery,2011,BIL,0
365,TwlShpEst,1,oil_all,catch_fishery,2011,AMB,0
365,TwlShpEst,1,oil_all,catch_fishery,2011,JCK,0
365,TwlShpEst,1,oil_all,catch_fishery,2011,KMK,0
365,TwlShpEst,1,oil_all,catch_fishery,2011,SMK,0
365,TwlShpEst,1,oil_all,catch_fishery,2011,SAR,0
365,TwlShpEst,1,oil_all,catch_fishery,2011,LPL,0
365,TwlShpEst,1,oil_all,catch_fishery,2011,DWF,0
365,TwlShpEst,1,oil_all,catch_fishery,2011,MEN,0
365,TwlShpEst,1,oil_all,catch_fishery,2011,PIN,0
365,TwlShpEst,1,oil_all,catch_fishery,2011,MPL,0
365,TwlShpEst,1,oil_all,catch_fishery,2011,SPL,0
365,TwlShpEst,1,oil_all,catch_fishery,2011,TIP,0
365,TwlShpEst,1,oil_all,catch_fishery,2011,BEN,0
365,TwlShpEst,1,oil_all,catch_fishery,2011,LGS,0
365,TwlShpEst,1,oil_all,catch_fishery,2011,FIL,0
365,TwlShpEst,1,oil_all,catch_fishery,2011,SMS,0
365,TwlShpEst,1,oil_all,catch_fishery,2011,RAY,0
365,TwlShpEst,1,oil_all,catch_fishery,2011,BSH,0
365,TwlShpEst,1,oil_all,catch_fishery,2011,WSH,0
365,TwlShpEst,1,oil_all,catch_fishery,2011,PSH,0
365,TwlShpEst,1,oil_all,catch_fishery,2011,OSH,0
365,TwlShpEst,1,oil_all,catch_fishery,2011,DBR,0
365,TwlShpEst,1,oil_all,catch_fishery,2011,SBR,0
365,TwlShpEst,1,oil_all,catch_fishery,2011,MAN,0
365,TwlShpEst,1,oil_all,catch_fishery,2011,MYS,0
365,TwlShpEst,1,oil_all,catch_fishery,2011,DOL,0
365,TwlShpEst,1,oil_all,catch_fishery,2011,DDO,0
365,TwlShpEst,1,oil_all,catch_fishery,2011,LOG,0
365,TwlShpEst,1,oil_all,catch_fishery,2011,KMP,0
365,TwlShpEst,1,oil_all,catch_fishery,2011,TUR,0
365,TwlShpEst,1,oil_all,catch_fishery,2011,BCR,0
365,TwlShpEst,1,oil_all,catch_fishery,2011,SCR,0
365,TwlShpEst,1,oil_all,catch_fishery,2011,LOB,0
365,TwlShpEst,1,oil_all,catch_fishery,2011,CMB,0
365,TwlShpEst,1,oil_all,catch_fishery,2011,OYS,2519582
365,TwlShpEst,1,oil_all,catch_fishery,2011,BIV,0
365,TwlShpEst,1,oil_all,catch_fishery,2011,SES,0
365,TwlShpEst,1,oil_all,catch_fishery,2011,SQU,0
365,OytEst,1,oil_all,catch_fishery,2011,GAG,0
365,OytEst,1,oil_all,catch_fishery,2011,RGR,0
365,OytEst,1,oil_all,catch_fishery,2011,SCM,0
365,OytEst,1,oil_all,catch_fishery,2011,SSR,0
365,OytEst,1,oil_all,catch_fishery,2011,DSR,0
365,OytEst,1,oil_all,catch_fishery,2011,RSN,0
365,OytEst,1,oil_all,catch_fishery,2011,VSN,0
365,OytEst,1,oil_all,catch_fishery,2011,LUT,0
365,OytEst,1,oil_all,catch_fishery,2011,BIO,0
365,OytEst,1,oil_all,catch_fishery,2011,LRF,0.0215618
365,OytEst,1,oil_all,catch_fishery,2011,SRF,0
365,OytEst,1,oil_all,catch_fishery,2011,BDR,0
365,OytEst,1,oil_all,catch_fishery,2011,RDR,0
365,OytEst,1,oil_all,catch_fishery,2011,SEA,0
365,OytEst,1,oil_all,catch_fishery,2011,SCI,0
365,OytEst,1,oil_all,catch_fishery,2011,LDY,0
365,OytEst,1,oil_all,catch_fishery,2011,MUL,0
365,OytEst,1,oil_all,catch_fishery,2011,POM,0
365,OytEst,1,oil_all,catch_fishery,2011,SHP,0
365,OytEst,1,oil_all,catch_fishery,2011,SNK,0
365,OytEst,1,oil_all,catch_fishery,2011,FLT,0
365,OytEst,1,oil_all,catch_fishery,2011,ODF,15.72862
365,OytEst,1,oil_all,catch_fishery,2011,SDF,0
365,OytEst,1,oil_all,catch_fishery,2011,YTN,0
365,OytEst,1,oil_all,catch_fishery,2011,BTN,0
365,OytEst,1,oil_all,catch_fishery,2011,LTN,0
365,OytEst,1,oil_all,catch_fishery,2011,OTN,0
365,OytEst,1,oil_all,catch_fishery,2011,SWD,0
365,OytEst,1,oil_all,catch_fishery,2011,WMR,0
365,OytEst,1,oil_all,catch_fishery,2011,BMR,0
365,OytEst,1,oil_all,catch_fishery,2011,BIL,0
365,OytEst,1,oil_all,catch_fishery,2011,AMB,0
365,OytEst,1,oil_all,catch_fishery,2011,JCK,0
365,OytEst,1,oil_all,catch_fishery,2011,KMK,0
365,OytEst,1,oil_all,catch_fishery,2011,SMK,0
365,OytEst,1,oil_all,catch_fishery,2011,SAR,0
365,OytEst,1,oil_all,catch_fishery,2011,LPL,0
365,OytEst,1,oil_all,catch_fishery,2011,DWF,0
365,OytEst,1,oil_all,catch_fishery,2011,MEN,0
365,OytEst,1,oil_all,catch_fishery,2011,PIN,0
365,OytEst,1,oil_all,catch_fishery,2011,MPL,0
365,OytEst,1,oil_all,catch_fishery,2011,SPL,0
365,OytEst,1,oil_all,catch_fishery,2011,TIP,0
