time,simulation,scenario,variable,year,fg_atlantis,value_mt
365,1,oil_meso,catch,2011,RGR,3632.974199
365,1,oil_meso,catch,2011,SCM,9.569915
365,1,oil_meso,catch,2011,SSR,258.596732
365,1,oil_meso,catch,2011,DSR,4321.648159
365,1,oil_meso,catch,2011,RSN,5432.247552
365,1,oil_meso,catch,2011,VSN,36.200371
365,1,oil_meso,catch,2011,LUT,82514.434645
365,1,oil_meso,catch,2011,BIO,1.903338
365,1,oil_meso,catch,2011,LRF,10.506174
365,1,oil_meso,catch,2011,SRF,255.771646
365,1,oil_meso,catch,2011,BDR,326.980488
365,1,oil_meso,catch,2011,RDR,1300.346279
365,1,oil_meso,catch,2011,SEA,11225.228327
365,1,oil_meso,catch,2011,SCI,154.321253
365,1,oil_meso,catch,2011,LDY,447.953688
365,1,oil_meso,catch,2011,MUL,10803.378096
365,1,oil_meso,catch,2011,POM,753.050199
365,1,oil_meso,catch,2011,SHP,3308.06223
365,1,oil_meso,catch,2011,SNK,386.926116
365,1,oil_meso,catch,2011,FLT,199.85275
365,1,oil_meso,catch,2011,ODF,7219.367222
365,1,oil_meso,catch,2011,SDF,3.756207
365,1,oil_meso,catch,2011,YTN,125.259218
365,1,oil_meso,catch,2011,BTN,38.01556
365,1,oil_meso,catch,2011,LTN,258.414736
365,1,oil_meso,catch,2011,OTN,0
365,1,oil_meso,catch,2011,SWD,375.921102
365,1,oil_meso,catch,2011,WMR,191.112641
365,1,oil_meso,catch,2011,BMR,3482.234583
365,1,oil_meso,catch,2011,BIL,2119.010757
365,1,oil_meso,catch,2011,AMB,188.277035
365,1,oil_meso,catch,2011,JCK,327.859
365,1,oil_meso,catch,2011,KMK,2919.1767
365,1,oil_meso,catch,2011,SMK,5746.849926
365,1,oil_meso,catch,2011,SAR,1385.474386
365,1,oil_meso,catch,2011,LPL,12811.702743
365,1,oil_meso,catch,2011,DWF,0
365,1,oil_meso,catch,2011,MEN,747533.888308
365,1,oil_meso,catch,2011,PIN,165.299855
365,1,oil_meso,catch,2011,MPL,95.646187
365,1,oil_meso,catch,2011,SPL,524.578923
365,1,oil_meso,catch,2011,TIP,189.785636
365,1,oil_meso,catch,2011,BEN,42243.247219
365,1,oil_meso,catch,2011,LGS,335506.800448
365,1,oil_meso,catch,2011,FIL,0
365,1,oil_meso,catch,2011,SMS,325.070787
365,1,oil_meso,catch,2011,RAY,709.830731
365,1,oil_meso,catch,2011,BSH,113843.530414
365,1,oil_meso,catch,2011,WSH,88169.900681
365,1,oil_meso,catch,2011,PSH,11561.651635
365,1,oil_meso,catch,2011,OSH,212.730548
365,1,oil_meso,catch,2011,DBR,0
365,1,oil_meso,catch,2011,SBR,0
365,1,oil_meso,catch,2011,MAN,0
365,1,oil_meso,catch,2011,MYS,0
365,1,oil_meso,catch,2011,DOL,0
365,1,oil_meso,catch,2011,DDO,0
365,1,oil_meso,catch,2011,LOG,0
365,1,oil_meso,catch,2011,KMP,0
365,1,oil_meso,catch,2011,TUR,0
365,1,oil_meso,catch,2011,BCR,14180.491246
365,1,oil_meso,catch,2011,SCR,1698.307415
365,1,oil_meso,catch,2011,LOB,232.900464
365,1,oil_meso,catch,2011,CMB,233464.914964
365,1,oil_meso,catch,2011,OYS,171123.867618
365,1,oil_meso,catch,2011,BIV,128654.78702
365,1,oil_meso,catch,2011,SES,0
365,1,oil_meso,catch,2011,SQU,11298.032177
730,1,oil_meso,catch,2012,RGR,3028.652703
730,1,oil_meso,catch,2012,SCM,13.519319
730,1,oil_meso,catch,2012,SSR,226.711636
730,1,oil_meso,catch,2012,DSR,3752.644179
730,1,oil_meso,catch,2012,RSN,4726.15933
730,1,oil_meso,catch,2012,VSN,31.269691
730,1,oil_meso,catch,2012,LUT,34493.454954
730,1,oil_meso,catch,2012,BIO,2.574992
730,1,oil_meso,catch,2012,LRF,16.378785
730,1,oil_meso,catch,2012,SRF,534.168637
730,1,oil_meso,catch,2012,BDR,335.056725
730,1,oil_meso,catch,2012,RDR,1233.065039
730,1,oil_meso,catch,2012,SEA,13346.572275
730,1,oil_meso,catch,2012,SCI,301.287275
730,1,oil_meso,catch,2012,LDY,610.04931
730,1,oil_meso,catch,2012,MUL,13608.996888
730,1,oil_meso,catch,2012,POM,924.269441
730,1,oil_meso,catch,2012,SHP,4393.41966
730,1,oil_meso,catch,2012,SNK,514.599193
730,1,oil_meso,catch,2012,FLT,398.115018
730,1,oil_meso,catch,2012,ODF,4569.780571
730,1,oil_meso,catch,2012,SDF,2.6174
730,1,oil_meso,catch,2012,YTN,128.448074
730,1,oil_meso,catch,2012,BTN,28.037403
730,1,oil_meso,catch,2012,LTN,297.712545
730,1,oil_meso,catch,2012,OTN,0
730,1,oil_meso,catch,2012,SWD,455.287217
730,1,oil_meso,catch,2012,WMR,136.87989
730,1,oil_meso,catch,2012,BMR,933.461667
730,1,oil_meso,catch,2012,BIL,299.476597
730,1,oil_meso,catch,2012,AMB,197.440915
730,1,oil_meso,catch,2012,JCK,376.500245
730,1,oil_meso,catch,2012,KMK,2950.441282
730,1,oil_meso,catch,2012,SMK,3728.132393
730,1,oil_meso,catch,2012,SAR,3375.010696
730,1,oil_meso,catch,2012,LPL,20182.032867
730,1,oil_meso,catch,2012,DWF,0
730,1,oil_meso,catch,2012,MEN,458965.940578
730,1,oil_meso,catch,2012,PIN,258.951951
730,1,oil_meso,catch,2012,MPL,162.746149
730,1,oil_meso,catch,2012,SPL,743.753788
730,1,oil_meso,catch,2012,TIP,306.745745
730,1,oil_meso,catch,2012,BEN,44203.285334
730,1,oil_meso,catch,2012,LGS,43541.07921
730,1,oil_meso,catch,2012,FIL,0
730,1,oil_meso,catch,2012,SMS,348.817801
730,1,oil_meso,catch,2012,RAY,942.841101
730,1,oil_meso,catch,2012,BSH,83446.76539
730,1,oil_meso,catch,2012,WSH,39831.7164
730,1,oil_meso,catch,2012,PSH,4407.893087
730,1,oil_meso,catch,2012,OSH,228.276823
730,1,oil_meso,catch,2012,DBR,0
730,1,oil_meso,catch,2012,SBR,0
730,1,oil_meso,catch,2012,MAN,0
730,1,oil_meso,catch,2012,MYS,0
730,1,oil_meso,catch,2012,DOL,0
730,1,oil_meso,catch,2012,DDO,0
730,1,oil_meso,catch,2012,LOG,0
730,1,oil_meso,catch,2012,KMP,0
730,1,oil_meso,catch,2012,TUR,0
730,1,oil_meso,catch,2012,BCR,13118.923598
730,1,oil_meso,catch,2012,SCR,1682.27251
730,1,oil_meso,catch,2012,LOB,219.433842
730,1,oil_meso,catch,2012,CMB,44302.59553
730,1,oil_meso,catch,2012,OYS,163196.977396
730,1,oil_meso,catch,2012,BIV,128513.300451
730,1,oil_meso,catch,2012,SES,0
730,1,oil_meso,catch,2012,SQU,10112.650303
1095,1,oil_meso,catch,2013,RGR,2824.756714
1095,1,oil_meso,catch,2013,SCM,17.56948
1095,1,oil_meso,catch,2013,SSR,255.637458
1095,1,oil_meso,catch,2013,DSR,4460.582844
1095,1,oil_meso,catch,2013,RSN,4126.938518
1095,1,oil_meso,catch,2013,VSN,27.197018
1095,1,oil_meso,catch,2013,LUT,56103.702519
1095,1,oil_meso,catch,2013,BIO,3.34581
1095,1,oil_meso,catch,2013,LRF,23.965207
